source,periodType,date,instrument,period,price
GFI,monthly,2023-07-21,TD22,2023-07-01,7.8
GFI,monthly,2023-07-21,TD19,2023-07-01,126.0
GFI,monthly,2023-07-21,TD3C,2023-08-01,52.0
GFI,monthly,2023-07-21,TD20,2023-08-01,88.0
GFI,monthly,2023-07-21,TD7,2023-08-01,131.0
GFI,monthly,2023-07-21,TD8,2023-08-01,163.0
GFI,monthly,2023-07-21,TD25,2023-08-01,150.0
GFI,monthly,2023-07-21,TD22,2023-08-01,7.75
GFI,monthly,2023-07-21,TD19,2023-08-01,128.0
GFI,monthly,2023-07-21,TD3C,2023-09-01,54.75
GFI,monthly,2023-07-21,TD20,2023-09-01,92.0
GFI,monthly,2023-07-21,TD7,2023-09-01,130.0
GFI,monthly,2023-07-21,TD8,2023-09-01,155.0
GFI,monthly,2023-07-21,TD25,2023-09-01,154.0
GFI,monthly,2023-07-21,TD22,2023-09-01,8.1
GFI,monthly,2023-07-21,TD19,2023-09-01,130.0
GFI,monthly,2023-07-21,TD3C,2023-10-01,57.0
GFI,monthly,2023-07-21,TD20,2023-10-01,95.0
GFI,monthly,2023-07-21,TD7,2023-10-01,135.0
GFI,monthly,2023-07-21,TD8,2023-10-01,155.0
GFI,monthly,2023-07-21,TD25,2023-10-01,162.5
GFI,monthly,2023-07-21,TD22,2023-10-01,8.35
GFI,monthly,2023-07-21,TD19,2023-10-01,140.0
GFI,monthly,2023-07-21,TD3C,2023-11-01,61.25
GFI,monthly,2023-07-21,TD20,2023-11-01,99.0
GFI,monthly,2023-07-21,TD7,2023-11-01,145.0
GFI,monthly,2023-07-21,TD8,2023-11-01,160.0
GFI,monthly,2023-07-21,TD25,2023-11-01,166.0
GFI,monthly,2023-07-21,TD22,2023-11-01,9.1
GFI,monthly,2023-07-21,TD19,2023-11-01,150.0
GFI,quarterly,2023-07-21,TD3C,2023-07-01,53.33
GFI,quarterly,2023-07-21,TD20,2023-07-01,90.0
GFI,quarterly,2023-07-21,TD7,2023-07-01,131.17
GFI,quarterly,2023-07-21,TD8,2023-07-01,161.0
GFI,quarterly,2023-07-21,TD25,2023-07-01,153.5
GFI,quarterly,2023-07-21,TD22,2023-07-01,7.88
GFI,quarterly,2023-07-21,TD19,2023-07-01,128.0
GFI,quarterly,2023-07-21,TD3C,2023-10-01,61.5
GFI,quarterly,2023-07-21,TD20,2023-10-01,99.0
GFI,quarterly,2023-07-21,TD7,2023-10-01,145.0
GFI,quarterly,2023-07-21,TD8,2023-10-01,160.0
GFI,quarterly,2023-07-21,TD25,2023-10-01,167.0
GFI,quarterly,2023-07-21,TD22,2023-10-01,9.12
GFI,quarterly,2023-07-21,TD19,2023-10-01,151.67
GFI,quarterly,2023-07-21,TD3C,2024-01-01,13.5
GFI,quarterly,2023-07-21,TD20,2024-01-01,17.15
GFI,quarterly,2023-07-21,TD7,2024-01-01,10.7
GFI,quarterly,2023-07-21,TD8,2024-01-01,23.0
GFI,quarterly,2023-07-21,TD25,2024-01-01,36.35
GFI,quarterly,2023-07-21,TD22,2024-01-01,31.11
GFI,quarterly,2023-07-21,TD19,2024-01-01,16.5
GFI,yearly,2023-07-21,TD3C,2024-01-01,13.0
GFI,yearly,2023-07-21,TD20,2024-01-01,14.9
GFI,yearly,2023-07-21,TD7,2024-01-01,10.5
GFI,yearly,2023-07-21,TD8,2024-01-01,22.0
GFI,yearly,2023-07-21,TD25,2024-01-01,32.2
GFI,yearly,2023-07-21,TD22,2024-01-01,29.91
GFI,yearly,2023-07-21,TD19,2024-01-01,15.5
GFI,yearly,2023-07-21,TD3C,2025-01-01,12.35
GFI,yearly,2023-07-21,TD20,2025-01-01,14.35
GFI,yearly,2023-07-21,TD7,2025-01-01,10.25
GFI,yearly,2023-07-21,TD8,2025-01-01,21.5
GFI,yearly,2023-07-21,TD25,2025-01-01,31.0
GFI,yearly,2023-07-21,TD22,2025-01-01,28.33
GFI,yearly,2023-07-21,TD19,2025-01-01,14.8
GFI,BITR,2023-07-24,TD3C,2023-07-01,51.21
GFI,BITR,2023-07-24,TD20,2023-07-01,81.82
GFI,BITR,2023-07-24,TD7,2023-07-01,134.29
