"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","50.50","67.95","117.86","157.50","124.69","8177778.00","97.50","162.75","147.50","176.67","158.06","164.38","165.06","215.71","2750000.00","67.95","257.14","3775000.00","99.00","168.00"
"BITR Change","-0.50","-0.37","-1.78","-1.79","-2.19","-66666.00","-3.94","-7.50","-1.67","3.34","-1.94","8.13","2.25","1.42","208333.00","-0.37","0.00","81250.00","-0.14","-1.57"
"MTD","52.75","85.93","130.59","165.62","151.58","7913683.81","121.32","147.22","131.81","149.21","172.72","121.28","145.27","194.28","2354166.71","85.93","204.00","2975892.86","107.39","173.24"
"MTD Change","-0.11","-0.90","-0.64","-0.41","-1.42","13204.71","-1.19","0.78","0.83","1.37","-0.73","2.15","0.99","1.07","19791.66","-0.90","2.66","39955.36","-0.42","-0.26"
"Jul-23","52.80","86.00","130.75","165.75","151.60","7.91","121.50","147.50","131.60","149.25","172.75","121.00","145.25","194.20","2.34","86.00","203.75","2.97","107.39","173.31"
"Aug-23","54.00","75.50","131.00","163.00","141.50","8.20","118.00","157.50","134.00","165.00","168.00","158.50","177.00","197.00","2.24","75.50","240.00","3.65","99.00","163.00"
"Sep-23","57.75","88.00","130.00","155.00","149.50","8.80","130.00","155.00","131.00","140.00","182.00","159.00","181.00","190.00","2.16","88.00","230.00","3.65","102.00","164.00"
"Oct-23","61.50","95.50","135.00","155.00","161.00","9.10","140.00","164.00","131.00","135.00","197.50","157.50","185.00","190.00","2.24","95.50","229.00","3.65","95.50","157.00"
"Nov-23","63.00","99.00","145.00","160.00","165.00","9.60","150.00","171.00","133.50","145.00","231.00","161.00","192.50","195.00","2.32","99.00","233.00","3.70","95.50","157.00"
"Q3-23","54.85","83.17","130.58","161.25","147.53","8.30","123.17","153.33","132.20","151.42","174.25","146.17","167.75","193.73","2.25","83.17","224.58","3.42","102.80","166.77"
"Q4-23","64.00","99.00","145.00","160.00","166.00","9.67","151.67","171.00","133.50","145.00","230.00","161.00","192.50","195.00","2.32","99.00","233.00","3.70","95.50","157.00"
"Q1-24","13.60","17.25","10.70","23.00","36.40","31.11","16.50","25.80","28.70","8.00","13.10","38.40","42.70","39.50","28.20","17.25","28.75","40.00","78.00","120.00"
"Cal24","13.20","15.35","10.50","22.00","32.25","30.09","15.50","24.55","28.00","7.31","12.84","37.25","42.50","39.00","28.00","15.35","28.05","37.22","69.88","111.88"
"Cal25","12.40","14.40","10.25","21.50","31.00","28.33","14.80","23.30","26.45","7.00","12.50","36.00","42.25","37.25","27.00","14.40","27.35","33.89","62.25","103.75"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
