"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","54.25","112.78","123.92","129.00","151.67","7232556.00","151.67","112.81","164.29","148.89","145.56","173.13","173.25","185.36","2925000.00","112.78","235.00","4103125.00","89.25","83.38","153.00"
"BITR Change","-2.73","-8.05","2.67","1.64","-1.11","-17444.00","0.28","-1.88","-12.50","-1.11","-22.77","0.63","-3.50","0.65","1000.00","-8.05","-0.71","-25000.00","0.33","-1.25","-0.67"
"MTD","52.41","108.72","119.73","126.02","164.06","6994231.50","150.02","111.52","181.12","150.24","177.85","168.75","175.48","185.90","2904625.00","108.72","246.03","4107031.25","87.36","81.09","146.54"
"MTD Change","0.26","0.58","0.60","0.43","-1.77","34046.36","0.24","0.18","-2.40","-0.19","-4.61","0.63","-0.32","-0.08","2910.71","0.58","-1.58","-558.04","0.27","0.33","0.92"
"Aug-25","54.00","99.00","119.50","129.00","150.11","7.10","140.00","118.92","157.50","145.00","156.00","164.40","170.00","185.00","2.64","99.00","235.00","4.00","87.36","81.41","148.25"
"Sep-25","58.50","89.00","125.00","125.00","143.61","8.10","125.00","124.00","130.00","125.00","150.00","151.00","160.00","180.00","2.56","89.00","210.00","3.50","85.00","77.00","148.00"
"Oct-25","62.50","92.00","128.00","135.00","149.86","8.40","132.50","122.00","128.00","135.00","165.00","143.00","161.00","187.00","2.68","92.00","195.00","3.70","80.50","75.00","141.00"
"Nov-25","65.00","92.50","133.00","140.00","150.61","8.70","137.50","127.00","136.00","150.00","176.00","141.00","165.00","190.00","2.80","92.50","202.00","4.00","79.50","75.00","141.00"
"Dec-25","66.50","93.00","138.00","145.00","152.86","9.00","142.50","132.00","141.00","165.00","187.00","139.00","169.00","195.00","2.92","93.00","206.00","4.30","78.50","75.00","141.00"
"Q4-25","64.67","92.50","133.00","140.00","151.11","8.70","137.50","127.00","135.00","150.00","176.00","141.00","165.00","190.00","2.80","92.50","201.00","4.00","79.50","75.00","141.00"
"Q1-26","58.88","82.16","104.99","140.85","132.37","8.20","132.65","129.64","121.24","146.86","163.32","126.87","164.50","193.57","2.62","82.16","182.51","3.70","67.00","60.00","124.50"
"Q2-26","12.10","76.56","9.55","20.30","24.84","28.33","13.45","18.15","23.80","9.25","11.20","28.35","34.00","34.00","2.50","13.00","20.80","3.60","62.00","60.00","116.50"
"Cal26","11.95","74.57","10.00","20.70","24.74","27.96","14.20","18.52","23.94","10.00","11.43","28.40","34.75","34.75","2.56","12.66","20.70","3.54","63.00","60.00","117.00"
"Cal27","11.05","66.55","9.80","20.50","23.03","25.93","13.75","16.60","20.50","9.75","11.10","25.05","34.50","34.50","2.48","11.30","19.25","3.30","53.00","60.00","108.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
