"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","139.28","155.00","180.00","227.93","261.67","13882889.00","245.22","142.50","237.86","204.44","261.11","214.69","213.21","234.29","4975000.00","155.00","268.57","4481250.00","91.33","87.38","158.83"
"BITR Change","-3.66","-1.11","-40.42","1.64","-38.33","32889.00","-5.61","2.50","15.72","2.50","7.78","-2.19","-1.43","-10.50","12500.00","-1.11","-3.57","-75000.00","1.72","0.50","0.58"
"MTD","141.11","155.56","200.21","227.11","280.83","13866444.50","248.03","141.25","230.00","203.19","257.22","215.78","213.93","239.54","4968750.00","155.56","270.36","4518750.00","90.47","87.13","158.54"
"MTD Change","-1.83","-1.11","-20.21","0.82","-19.16","16444.50","-2.81","1.25","7.86","1.25","3.89","-1.09","-0.71","-5.25","6250.00","-1.11","-1.78","-37500.00","0.86","0.25","0.29"
"Feb-26","126.00","16.50","175.00","215.00","166.85","13.50","225.00","17.85","27.60","185.00","14.63","207.25","195.00","230.00","4.48","16.50","258.00","4.20","86.00","85.00","152.00"
"Mar-26","119.50","15.82","152.50","190.00","166.55","13.00","190.00","18.60","26.00","165.00","14.35","208.75","182.50","203.50","4.00","15.82","255.00","3.85","77.50","75.00","141.00"
"Apr-26","114.00","15.99","135.00","165.00","145.55","12.25","170.00","18.30","26.90","155.00","12.97","187.00","172.50","199.50","3.60","15.99","241.00","3.65","72.00","70.00","133.00"
"May-26","101.00","15.59","130.00","158.00","145.55","11.10","150.00","17.80","26.50","145.00","12.67","173.00","167.75","197.50","3.36","15.59","234.50","3.55","70.00","67.50","129.00"
"Jun-26","94.00","15.19","125.00","150.00","145.55","10.00","130.00","17.30","26.10","135.00","12.37","165.00","166.75","195.50","3.04","15.19","225.00","3.45","68.00","65.00","128.00"
"Q2-26","103.00","15.59","130.00","157.67","145.55","11.12","150.00","17.80","26.50","145.00","12.67","175.00","169.00","197.50","3.33","15.59","233.50","3.55","70.00","67.50","130.00"
"Q3-26","79.00","13.40","105.00","148.75","123.86","8.77","115.00","16.10","23.50","128.33","10.84","160.00","167.75","195.00","2.72","13.40","200.00","3.13","63.00","63.00","125.00"
"Q4-26","17.58","14.50","12.18","22.91","28.20","37.04","16.05","2.70","5.52","10.80","0.87","33.81","35.73","35.75","2.72","2.46","21.00","3.30","61.50","62.00","120.00"
"Cal27","14.30","76.80","10.43","20.32","25.47","29.81","14.00","16.65","22.93","9.80","11.45","27.65","34.50","34.55","2.48","13.04","21.59","3.15","55.50","53.00","106.00"
"Cal28","12.20","66.61","10.00","20.00","23.23","25.93","13.55","16.20","20.26","9.55","11.10","25.40","34.25","34.30","2.48","11.31","19.30","3.00","45.00","43.00","95.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
