"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","295.00","233.33","145.00","321.43","197.78","20416667.00","152.89","121.25","147.14","182.78","169.44","522.50","264.69","281.43","4337000.00","233.33","540.00","9750000.00","","91.25","163.17"
"BITR Change","-23.89","-5.28","0.00","-2.14","5.84","-944444.00","-0.61","-4.06","10.00","-4.72","-0.84","-5.63","6.56","7.72","12000.00","-5.28","0.00","-187500.00","","1.00","5.08"
"MTD","418.37","172.73","147.04","309.92","202.45","17968070.21","197.28","138.23","213.95","214.80","182.81","528.39","228.15","282.64","4403094.74","172.73","651.39","9794860.26","213.94","132.00","233.75"
"MTD Change","0.00","-5.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-5.28","0.00","0.00","0.00","0.00","0.00"
"Jun-26","402.00","15.19","147.00","310.00","145.55","18.50","190.00","17.30","26.10","210.00","12.37","315.00","230.00","280.00","4.40","15.19","630.00","9.60","210.03","126.50","223.83"
"Jul-26","220.00","13.40","145.00","202.00","123.86","15.50","160.00","16.10","23.50","150.00","10.84","295.00","170.00","210.00","4.04","13.40","470.00","8.00","180.00","90.00","160.00"
"Aug-26","200.00","13.40","140.00","177.00","123.86","14.25","145.00","16.10","23.50","140.00","10.84","285.00","160.00","185.00","3.80","13.40","425.00","6.50","129.00","87.00","141.00"
"Sep-26","180.00","","135.00","177.00","","13.50","135.00","","","135.00","","260.00","164.00","170.00","3.20","","380.00","5.00","95.00","83.00","138.00"
"Oct-26","180.00","","145.00","190.00","","13.30","135.00","","","140.00","","250.00","173.50","170.00","2.96","","360.00","3.50","95.00","75.00","134.00"
"Q3-26","200.00","13.40","140.00","185.33","123.86","14.42","146.67","16.10","23.50","141.67","10.84","280.00","164.67","188.33","3.68","13.40","425.00","6.50","134.67","86.67","146.33"
"Q4-26","182.50","14.50","155.00","198.33","137.37","14.00","143.33","17.60","25.55","145.00","11.61","240.00","177.50","180.00","2.96","14.50","345.00","3.40","95.00","75.00","134.00"
"Q1-27","27.45","82.45","14.00","22.50","48.91","44.44","14.75","17.90","24.79","10.55","13.04","45.00","35.25","35.30","2.88","14.00","26.30","3.35","76.00","58.00","127.00"
"Cal27","20.05","76.80","13.07","20.82","25.47","37.96","14.00","16.65","22.93","9.80","11.45","41.75","34.50","34.55","2.48","13.04","24.55","3.15","70.00","56.50","119.00"
"Cal28","15.00","66.61","12.70","20.25","23.23","27.22","13.55","16.20","20.26","9.55","11.10","34.75","34.25","34.30","2.48","11.31","20.00","3.00","63.00","48.00","104.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
