"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","50.85","75.83","109.58","149.00","117.78","6460000.00","122.61","151.25","123.57","188.33","187.22","127.19","127.88","167.71","3308333.00","75.83","187.14","3750000.00","50.17","53.25","97.42"
"BITR Change","-1.00","-1.11","0.32","1.43","2.50","145000.00","-1.92","-10.94","0.71","-3.34","-19.45","-6.56","-0.31","-1.15","45833.00","-1.11","1.43","-115625.00","1.83","0.00","0.00"
"MTD","57.36","74.30","112.68","137.09","131.14","6808245.06","121.38","145.23","119.74","170.32","167.59","147.88","141.54","167.77","3191913.61","74.30","204.79","3897482.67","56.65","56.45","101.88"
"MTD Change","1.52","2.23","-1.27","4.58","-5.45","0.00","4.78","11.84","-0.20","11.07","17.96","-2.27","-2.75","3.29","26265.44","2.23","-7.82","56206.58","-2.63","-1.31","-1.85"
"Jan-25","56.35","75.25","113.15","138.50","124.75","8.00","125.00","148.00","119.50","160.50","172.00","146.00","145.00","170.00","3.04","75.25","200.00","3.80","55.44","56.50","101.08"
"Feb-25","56.50","83.50","117.00","144.00","142.75","8.10","125.00","130.00","125.00","153.75","160.00","125.00","155.00","175.00","2.62","83.50","180.00","3.90","52.50","53.00","100.00"
"Mar-25","60.00","86.50","113.00","137.00","138.75","8.40","126.00","132.00","128.00","147.00","154.00","127.00","160.00","185.00","2.58","86.50","180.00","3.80","53.00","53.00","100.00"
"Apr-25","62.50","83.50","110.00","134.00","137.25","8.70","123.25","136.00","133.00","140.00","165.00","122.00","172.75","185.00","2.50","83.50","185.00","3.50","54.00","53.00","107.00"
"May-25","62.00","82.75","108.00","132.00","135.25","8.65","118.00","133.00","130.00","130.50","162.50","121.00","171.75","183.00","2.50","82.75","184.00","3.45","54.00","53.00","107.00"
"Q1-25","57.62","81.75","114.38","139.83","135.42","8.17","125.33","136.67","124.17","153.75","162.00","132.67","153.33","176.67","2.75","81.75","186.67","3.83","53.65","54.17","100.36"
"Q2-25","62.00","82.50","108.00","132.00","135.25","8.65","119.75","133.00","130.00","133.33","162.50","121.00","171.67","183.00","2.50","82.50","184.00","3.45","54.00","53.00","107.00"
"Q3-25","54.50","72.50","106.00","125.00","117.25","7.60","117.50","115.00","115.00","129.75","153.00","116.00","171.25","175.00","2.48","72.50","181.00","3.30","56.50","57.00","109.00"
"Cal26","12.25","72.14","10.00","20.75","23.61","29.12","14.20","18.34","27.10","10.00","12.47","25.00","34.75","34.75","2.56","12.25","22.68","3.25","58.50","59.75","108.75"
"Cal27","11.90","69.49","9.80","20.50","23.27","28.33","13.75","18.15","26.80","9.75","12.15","24.75","36.00","34.50","2.48","11.80","22.20","3.10","58.50","59.75","108.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
