"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","73.75","112.34","146.43","191.43","165.00","9790000.00","198.78","189.38","141.79","247.78","233.89","273.13","275.94","311.71","3533333.00","112.34","400.00","7318750.00","92.64","81.60","147.14"
"BITR Change","0.40","2.51","0.00","2.86","-0.56","-5000.00","0.84","-2.01","3.22","-2.22","-12.22","0.00","1.56","-0.93","25000.00","2.51","2.86","93750.00","3.93","0.40","0.57"
"MTD","70.06","105.35","144.47","182.70","177.67","9348846.15","177.35","186.66","151.70","237.11","258.07","240.56","270.19","308.17","3367948.62","105.35","379.40","6582692.31","79.16","77.12","140.30"
"MTD Change","0.31","0.58","0.16","0.73","-1.06","36762.82","1.79","0.23","-0.83","0.89","-2.01","2.71","0.48","0.29","13782.03","0.58","1.72","61338.14","1.12","0.37","0.57"
"May-24","72.25","108.75","147.00","183.10","173.50","9.50","183.00","190.11","155.00","240.00","257.90","249.50","255.00","300.00","42.00","108.75","387.00","6.80","84.82","79.00","144.13"
"Jun-24","66.50","106.50","140.00","173.00","187.00","9.30","170.00","191.00","167.00","215.00","225.00","230.00","230.00","280.00","38.50","106.50","332.00","6.50","95.00","76.00","148.00"
"Jul-24","62.50","101.00","139.00","155.00","172.00","8.70","145.00","184.50","168.00","190.00","220.00","220.00","215.00","250.00","35.00","101.00","307.00","6.00","90.00","76.00","145.00"
"Aug-24","58.00","92.25","135.00","150.00","169.00","8.05","131.00","178.00","164.00","175.00","190.00","208.00","205.00","201.00","34.00","92.25","278.00","5.40","89.00","76.00","145.00"
"Sep-24","61.00","94.75","140.00","155.00","172.00","8.45","138.00","180.50","164.00","160.00","205.00","202.00","195.00","222.50","33.00","94.75","270.00","5.10","88.00","76.00","145.00"
"Q3-24","60.50","96.00","138.00","153.33","171.00","8.40","138.00","181.00","165.33","175.00","205.00","210.00","205.00","224.50","34.00","96.00","285.00","5.50","89.00","76.00","145.00"
"Q4-24","73.00","109.50","152.50","180.00","186.50","10.07","145.00","192.00","169.50","170.00","260.00","196.00","210.00","230.00","34.50","109.50","285.00","5.40","88.00","77.50","144.00"
"Q1-25","68.77","104.02","148.46","156.44","176.67","9.45","144.72","190.10","141.69","164.96","214.00","183.96","186.93","206.75","32.75","104.02","255.27","5.00","71.00","71.50","126.50"
"Cal25","14.15","95.86","10.80","22.70","34.10","33.15","14.75","27.50","30.00","10.50","15.15","40.50","40.00","37.25","32.00","16.45","28.75","4.50","70.58","71.75","125.25"
"Cal26","13.30","89.74","10.30","22.20","32.20","31.30","14.35","25.95","28.00","10.00","13.80","38.00","39.00","37.00","32.00","15.40","27.45","3.90","70.58","71.75","125.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
