"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","114.72","150.56","157.50","179.64","219.44","12313889.00","204.44","113.13","164.29","167.22","247.22","166.56","188.75","227.29","4225000.00","150.56","247.50","3887500.00","80.17","73.00","133.17"
"BITR Change","0.11","7.50","0.21","-2.79","12.22","-193055.00","0.38","-1.87","-3.21","-1.11","0.55","-0.63","0.31","-2.35","-25000.00","7.50","-1.07","-18750.00","0.08","0.00","-0.33"
"MTD","123.54","133.85","157.40","197.61","203.85","13514657.87","195.03","138.52","170.52","191.02","202.28","177.08","176.20","236.69","4075833.33","133.85","231.62","4051250.00","75.88","69.84","127.13"
"MTD Change","-0.63","1.19","0.01","-1.28","1.11","-85769.20","0.67","-1.81","-0.45","-1.70","3.21","-0.75","0.90","-0.67","10654.76","1.19","1.13","-11696.43","0.31","0.23","0.43"
"Dec-25","122.00","136.00","157.00","195.00","203.85","13.30","196.00","134.50","169.50","187.50","209.50","175.65","178.00","235.00","4.08","136.00","234.25","4.00","76.34","70.00","127.94"
"Jan-26","89.24","132.10","137.21","177.06","177.46","12.00","135.31","125.08","139.98","150.96","183.67","156.72","165.89","195.20","3.36","132.10","227.08","3.80","66.50","62.00","124.00"
"Feb-26","81.19","117.61","132.02","170.36","176.00","11.00","132.65","124.10","133.36","146.86","195.85","148.63","164.50","193.57","3.20","117.61","212.22","3.50","60.00","61.50","115.00"
"Mar-26","74.52","103.36","127.86","156.94","174.53","10.00","129.99","125.41","132.58","142.76","192.10","146.14","163.11","191.93","3.04","103.36","203.74","3.20","60.00","61.50","115.00"
"Apr-26","72.22","98.47","122.66","148.89","145.65","9.40","122.01","119.22","123.32","126.37","173.63","140.96","159.87","188.11","2.80","98.47","197.37","3.30","57.50","59.00","113.00"
"Q1-26","81.65","117.69","131.29","168.12","176.00","11.00","132.65","124.86","135.31","146.86","190.54","150.50","164.50","193.57","3.20","117.69","214.35","3.50","62.17","61.67","118.00"
"Q2-26","70.61","96.11","118.50","147.55","145.65","9.20","119.34","115.96","121.47","126.37","169.61","138.89","157.55","185.39","2.72","96.11","193.12","3.30","57.50","59.00","113.00"
"Q3-26","12.20","80.57","10.40","21.00","25.42","27.04","13.20","16.10","24.50","9.00","10.84","27.55","33.75","33.75","2.56","13.68","21.50","3.10","56.50","58.00","113.00"
"Cal26","14.88","95.60","11.58","22.77","29.89","33.33","14.20","17.67","26.70","10.00","12.34","31.01","34.75","34.75","2.80","16.23","23.00","3.30","58.42","59.42","114.50"
"Cal27","12.00","76.80","11.00","20.50","25.61","27.04","13.75","16.75","22.93","9.75","11.45","27.40","34.50","34.50","2.48","13.04","19.90","3.15","51.00","53.00","103.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
