"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","50.88","78.41","132.86","158.36","136.25","8172222.00","120.28","180.00","147.50","170.00","165.00","107.50","139.25","212.86","2275000.00","78.41","238.57","2968750.00","104.93","171.00"
"BITR Change","-0.33","-3.41","-1.43","0.29","-10.94","322222.00","-0.05","9.00","10.83","-0.56","-7.06","3.75","0.87","-2.85","8333.00","-3.41","15.71","93750.00","-1.21","-0.57"
"MTD","53.17","89.47","132.65","167.12","157.80","7841707.47","125.47","141.58","127.14","143.63","175.57","115.30","141.55","189.74","2321813.76","89.47","191.87","2845588.24","109.18","174.03"
"MTD Change","-0.14","-0.69","0.01","-0.55","-1.44","20657.16","-0.32","2.40","1.36","1.65","-0.66","-0.49","-0.14","1.44","-2925.86","-0.69","2.92","7697.61","-0.27","-0.19"
"Jul-23","52.75","87.09","132.50","165.00","155.00","7.90","126.00","147.00","130.11","148.00","174.81","115.62","143.00","192.00","2.32","87.09","200.00","2.85","108.86","173.71"
"Aug-23","53.00","85.50","131.00","163.00","149.25","8.00","128.00","159.00","131.00","150.00","174.00","138.00","170.00","197.00","2.24","85.50","237.00","3.40","101.00","165.00"
"Sep-23","55.75","90.50","130.00","155.00","152.00","8.40","130.00","155.00","129.00","135.00","177.00","148.50","175.00","190.00","2.16","90.50","232.00","3.45","97.00","155.00"
"Oct-23","57.25","96.25","135.00","155.00","159.00","8.55","140.00","164.00","129.00","130.00","189.00","150.00","185.00","190.00","2.24","96.25","225.00","3.55","95.00","150.00"
"Nov-23","62.25","100.00","145.00","160.00","165.00","9.30","150.00","170.00","130.00","135.00","215.00","155.00","192.50","195.00","2.32","100.00","227.00","3.65","95.00","150.00"
"Q3-23","53.83","87.70","131.17","161.00","152.08","8.10","128.00","153.67","130.04","144.33","175.27","134.04","162.67","193.00","2.24","87.70","223.00","3.23","102.29","164.57"
"Q4-23","62.25","100.25","145.00","160.00","165.00","9.32","151.67","170.00","130.67","135.00","211.33","155.00","192.50","195.00","2.32","100.25","227.00","3.65","94.33","150.00"
"Q1-24","13.65","17.35","10.70","23.00","36.15","31.11","16.50","25.50","28.95","8.00","13.10","38.00","42.70","39.50","28.20","17.35","28.75","40.00","74.50","120.00"
"Cal24","13.20","15.15","10.50","22.00","32.00","30.05","15.50","24.15","28.25","7.31","12.84","36.80","42.50","39.00","28.00","15.15","28.05","37.22","68.88","111.88"
"Cal25","12.40","14.40","10.25","21.50","31.00","28.33","14.80","23.30","26.45","7.00","12.50","36.00","42.25","37.25","27.00","14.40","27.35","33.89","63.50","103.75"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
