"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","50.20","112.89","172.08","196.50","202.50","8067500.00","148.61","155.94","214.29","166.94","143.89","240.00","247.50","310.36","3508333.00","112.89","340.71","6200000.00","65.00","68.80","121.71"
"BITR Change","-0.30","1.67","1.88","-1.50","-2.50","-30000.00","-2.45","-3.75","2.15","-0.84","-10.55","0.62","1.56","-4.78","-125000.00","1.67","-0.72","0.00","-0.86","0.20","0.43"
"MTD","52.80","112.02","170.19","205.35","208.93","8398500.00","175.01","159.45","199.45","184.17","195.36","238.97","261.95","320.73","3888782.00","112.02","352.36","6129326.92","75.47","74.18","132.44"
"MTD Change","-0.45","0.01","0.38","-1.62","-0.94","-57454.55","-4.58","-0.30","2.50","-3.06","-8.40","0.13","-3.04","-1.59","-57808.91","0.01","-2.05","12849.65","-1.83","-1.00","-1.99"
"Jun-24","52.25","111.00","168.00","202.00","201.75","8.22","169.00","163.50","201.00","180.00","195.40","237.58","253.00","310.00","3.76","111.00","337.00","6.00","72.66","72.38","128.79"
"Jul-24","53.25","97.00","145.00","185.00","180.00","7.40","165.00","182.00","175.00","170.00","207.50","215.00","225.00","265.00","2.88","97.00","306.00","5.60","71.50","69.00","125.00"
"Aug-24","53.75","86.00","134.00","165.00","163.00","7.50","145.00","177.00","159.00","160.00","205.00","205.50","205.00","240.00","2.76","86.00","279.00","5.30","70.50","69.00","125.00"
"Sep-24","55.50","88.50","134.00","167.50","163.25","7.70","138.00","178.00","158.00","150.00","195.00","198.00","195.00","245.00","2.68","88.50","267.00","5.00","71.00","69.00","125.00"
"Oct-24","64.25","100.50","150.00","180.00","173.00","8.85","142.00","180.00","161.00","160.00","223.00","198.00","200.00","245.00","2.68","100.50","273.00","5.20","75.00","72.00","129.00"
"Q3-24","54.17","90.50","137.67","172.50","168.75","7.53","149.33","179.00","164.00","160.00","202.50","206.17","208.33","250.00","2.77","90.50","284.00","5.30","71.00","69.00","125.00"
"Q4-24","68.25","108.00","155.67","185.00","183.00","9.50","145.00","185.00","170.00","167.50","253.00","196.00","210.00","240.00","2.76","108.00","278.00","5.40","76.00","73.00","127.25"
"Q1-25","66.24","102.86","148.46","156.44","174.76","9.20","144.72","192.31","146.23","164.96","214.00","176.93","186.93","206.75","2.62","102.86","255.27","5.00","68.00","67.00","119.00"
"Cal25","13.80","94.70","10.80","22.70","34.15","32.59","14.75","27.95","31.00","10.50","15.15","39.75","40.00","37.25","2.56","16.25","28.75","4.50","67.00","68.25","123.25"
"Cal26","13.15","88.87","10.30","22.20","32.30","30.93","14.35","25.95","28.50","10.00","13.80","37.70","39.00","37.00","2.56","15.25","27.45","3.90","67.00","68.25","123.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
