"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","53.10","88.89","114.58","134.64","123.61","7544444.00","137.17","120.31","112.10","150.56","164.44","145.94","160.22","195.50","2940000.00","88.89","226.07","3700000.00","80.67","75.25","136.50"
"BITR Change","-0.10","-0.33","0.00","-0.50","-1.11","16666.00","0.95","0.93","-0.04","0.56","-1.67","2.50","1.03","-1.00","0.00","-0.33","4.28","43750.00","0.58","0.00","0.00"
"MTD","50.24","82.78","118.27","144.43","138.25","7243608.07","129.66","100.74","157.80","128.45","139.60","141.12","152.54","200.66","2915000.00","82.78","206.56","3559642.86","78.95","73.31","131.62"
"MTD Change","0.22","0.47","-0.28","-0.75","-1.22","23141.23","0.58","1.51","-3.81","1.70","1.91","0.37","0.59","-0.40","1923.08","0.47","1.50","10796.70","0.13","0.15","0.38"
"Jul-25","52.00","82.75","116.00","135.00","131.84","7.35","125.00","110.00","148.05","129.75","154.30","143.25","155.00","190.00","2.72","82.75","212.00","3.50","79.36","72.00","133.33"
"Aug-25","57.00","85.00","111.00","127.00","134.84","7.30","121.00","130.00","134.00","129.75","160.00","152.00","150.00","185.00","2.64","85.00","220.00","3.25","75.50","67.00","128.00"
"Sep-25","58.50","82.50","109.00","125.00","129.84","7.80","125.00","120.00","127.00","129.75","156.00","151.00","145.00","180.00","2.56","82.50","210.00","3.10","72.00","67.00","128.00"
"Oct-25","62.75","85.50","120.00","135.00","138.84","8.30","132.50","119.00","122.00","157.00","171.00","136.00","161.00","187.00","2.68","85.50","185.00","3.70","70.00","67.00","125.00"
"Nov-25","64.25","88.75","125.00","140.00","140.84","8.45","137.50","124.00","130.00","157.00","182.00","135.00","165.00","190.00","2.80","88.75","189.00","4.00","71.00","67.00","125.00"
"Q3-25","55.83","83.42","112.00","129.00","132.17","7.48","123.67","120.00","136.35","129.75","156.77","148.75","150.00","185.00","2.64","83.42","214.00","3.28","75.62","68.67","129.78"
"Q4-25","64.25","88.75","125.00","140.00","140.84","8.53","137.50","124.00","130.00","157.00","182.00","135.00","165.00","190.00","2.80","88.75","189.00","4.00","70.50","67.00","125.00"
"Q1-26","12.60","83.33","10.10","21.00","26.32","29.63","14.95","18.83","26.60","10.75","12.20","30.60","35.50","35.50","2.62","14.15","21.50","3.70","62.50","57.00","116.00"
"Cal26","11.70","75.97","10.00","20.70","24.23","27.46","14.20","17.53","23.25","10.00","11.43","28.75","34.75","34.75","2.56","12.90","20.70","3.54","58.88","58.50","114.25"
"Cal27","11.00","67.43","9.80","20.50","22.90","24.44","13.75","16.60","19.50","9.75","11.10","25.05","34.50","34.50","2.48","11.45","19.25","3.30","48.00","58.50","100.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
