"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","51.25","80.83","122.50","133.64","149.17","7212500.00","120.61","145.00","129.64","183.06","189.44","156.25","158.76","206.57","2940000.00","80.83","194.64","3737500.00","68.00","61.88","114.75"
"BITR Change","-0.85","3.19","0.42","-0.43","28.34","-99833.00","1.67","-8.44","-1.07","1.95","-4.45","-1.25","-6.24","1.57","10000.00","3.19","-4.65","6250.00","0.17","0.50","0.33"
"MTD","60.34","86.01","123.56","145.77","140.36","8153515.50","137.71","133.29","104.12","153.18","162.34","151.64","165.81","187.90","2969250.00","86.01","228.12","3692968.75","63.06","58.88","111.38"
"MTD Change","-0.48","-0.27","-0.06","-0.61","0.46","-49527.13","-0.90","0.62","1.34","1.57","1.43","0.24","-0.35","0.93","-1539.47","-0.27","-1.76","2343.75","0.26","0.16","0.18"
"May-25","60.40","85.90","123.75","145.75","138.90","8.15","137.75","133.70","104.00","153.00","162.50","151.75","166.00","188.00","2.97","85.90","228.50","3.70","62.80","58.72","111.43"
"Jun-25","53.00","86.00","112.50","135.00","143.97","6.85","130.00","134.00","116.00","150.00","163.00","138.50","162.50","181.00","2.56","86.00","200.00","3.30","63.50","58.00","117.00"
"Jul-25","55.00","81.00","112.00","125.00","129.97","6.80","120.00","134.00","118.00","129.75","157.00","135.00","160.00","175.00","2.48","81.00","192.00","3.25","61.00","55.00","112.00"
"Aug-25","52.25","74.25","105.00","121.00","114.47","7.00","116.00","112.50","108.00","129.75","146.00","125.75","157.00","172.00","2.48","74.25","182.00","3.30","61.00","55.00","112.00"
"Sep-25","54.50","75.00","108.50","129.00","113.97","7.20","124.00","116.50","110.00","129.75","150.00","121.25","163.00","178.00","2.48","75.00","178.00","3.15","61.00","55.00","112.00"
"Q3-25","53.92","76.75","108.00","125.00","119.47","7.00","120.00","121.00","112.00","129.75","151.00","127.33","160.00","175.00","2.48","76.75","184.00","3.20","61.00","55.00","112.00"
"Q4-25","62.50","83.25","122.00","140.00","128.97","8.30","135.00","127.00","116.50","157.00","173.00","120.00","175.00","190.00","2.64","83.25","180.00","3.35","60.00","57.00","112.00"
"Q1-26","57.50","75.09","104.99","140.85","117.32","7.85","132.65","117.92","116.15","146.86","160.64","115.05","164.50","193.57","2.62","75.09","169.35","3.30","54.00","52.00","103.00"
"Cal26","11.30","70.30","10.00","20.70","22.85","26.20","14.20","17.71","21.88","10.00","11.22","26.25","34.75","34.75","2.56","11.94","19.25","3.25","53.50","54.00","104.50"
"Cal27","10.80","64.49","9.80","20.50","21.84","24.81","13.75","16.60","19.50","9.75","11.10","24.10","34.50","34.50","2.48","10.95","19.45","3.10","48.00","54.00","100.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
