"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","56.65","120.56","119.58","125.57","151.11","7075000.00","148.83","120.94","199.29","152.78","185.83","175.94","177.44","184.36","2905000.00","120.56","252.14","4162500.00","88.58","83.13","149.83"
"BITR Change","3.40","-0.27","1.25","0.71","-19.45","58333.00","-0.06","11.25","6.79","6.67","-6.95","2.81","1.44","-0.64","20000.00","-0.27","0.35","6250.00","0.50","1.13","2.67"
"MTD","50.23","102.61","118.33","125.12","171.50","6881259.20","149.78","109.19","183.86","150.39","186.22","165.88","175.18","186.57","2896800.00","102.61","249.71","4095000.00","86.43","79.53","143.13"
"MTD Change","1.61","4.49","0.31","0.11","-5.10","48435.20","-0.24","2.94","3.86","0.60","-0.10","2.52","0.56","-0.55","2050.00","4.49","0.61","16875.00","0.54","0.90","1.67"
"Aug-25","54.50","95.47","119.50","129.00","150.36","7.25","121.00","124.00","158.46","129.75","160.00","162.00","170.00","185.00","2.64","95.47","235.00","3.75","87.63","81.41","146.75"
"Sep-25","62.50","91.00","125.00","125.00","143.24","8.30","125.00","124.00","130.00","119.75","157.00","152.50","160.00","180.00","2.56","91.00","210.00","3.25","85.00","77.00","148.00"
"Oct-25","64.00","93.25","128.00","135.00","150.24","8.60","132.50","121.00","132.00","135.00","169.00","143.00","161.00","187.00","2.68","93.25","195.00","3.70","76.50","75.00","140.00"
"Nov-25","66.00","95.00","133.00","140.00","151.74","8.95","137.50","126.00","139.00","150.00","180.00","141.00","165.00","190.00","2.80","95.00","202.00","4.00","76.50","75.00","140.00"
"Dec-25","68.75","96.75","138.00","145.00","153.99","9.35","142.50","131.00","143.00","165.00","191.00","139.00","169.00","195.00","2.92","96.75","206.00","4.30","76.50","75.00","140.00"
"Q4-25","66.25","95.00","133.00","140.00","151.99","8.97","137.50","126.00","138.00","150.00","180.00","141.00","165.00","190.00","2.80","95.00","201.00","4.00","76.50","75.00","140.00"
"Q1-26","60.26","85.39","104.99","140.85","135.11","8.20","132.65","130.29","122.63","146.86","163.32","128.11","164.50","193.57","2.62","85.39","182.51","3.70","64.50","60.00","123.00"
"Q2-26","12.10","79.21","9.55","20.30","25.12","28.33","13.45","18.25","24.30","9.25","11.20","28.70","34.00","34.00","2.50","13.45","20.80","3.60","62.00","60.00","117.00"
"Cal26","12.20","77.00","10.00","20.70","25.26","27.96","14.20","18.63","24.31","10.00","11.43","28.75","34.75","34.75","2.56","13.07","20.70","3.54","62.00","60.00","116.50"
"Cal27","11.25","67.43","9.80","20.50","23.06","25.93","13.75","16.60","20.50","9.75","11.10","25.05","34.50","34.50","2.48","11.45","19.25","3.30","53.00","60.00","108.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
