"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","428.33","246.67","230.42","510.00","269.72","21661111.00","344.17","225.63","402.86","395.56","326.67","385.75","215.63","253.93","8518000.00","246.67","495.71","7351624.00","122.00","91.75","170.00"
"BITR Change","-52.30","2.23","0.42","12.14","14.72","2646111.00","2.50","1.88","4.29","6.67","11.67","24.73","2.19","-0.36","-72000.00","2.23","77.14","-11364.00","122.00","10.13","26.17"
"MTD","459.22","278.29","224.01","523.59","296.20","23548803.38","322.75","222.36","386.65","369.68","357.71","400.07","259.35","256.29","7608692.31","278.29","415.90","7801843.46","107.05","81.22","144.58"
"MTD Change","-0.86","2.23","1.13","-3.57","-6.15","-583772.34","3.67","0.42","2.56","4.10","-6.71","-4.85","-8.15","-0.40","171874.13","2.23","7.50","-80824.99","3.74","0.99","2.24"
"Mar-26","443.18","15.82","219.00","510.00","166.55","21.60","320.00","18.60","26.00","350.00","14.35","365.00","240.00","250.00","7.60","15.82","414.13","7.40","110.00","82.00","154.93"
"Apr-26","275.00","15.99","200.00","340.00","145.55","18.00","240.00","18.30","26.90","300.00","12.97","300.00","200.00","225.00","6.40","15.99","310.00","6.00","116.00","75.00","169.00"
"May-26","166.00","15.59","172.50","290.00","145.55","16.50","200.00","17.80","26.50","230.00","12.67","260.00","186.00","215.00","5.60","15.59","270.00","5.00","105.00","71.00","159.00"
"Jun-26","135.00","15.19","152.50","240.00","145.55","11.50","175.00","17.30","26.10","170.00","12.37","220.00","175.00","195.50","4.80","15.19","245.00","4.50","97.00","70.00","152.00"
"Jul-26","119.00","13.40","144.00","190.00","123.86","11.00","150.00","16.10","23.50","150.00","10.84","210.00","162.00","180.00","4.00","13.40","225.00","4.00","88.00","65.00","145.00"
"Q2-26","192.00","15.59","175.00","290.00","145.55","15.33","205.00","17.80","26.50","233.33","12.67","260.00","187.00","211.83","5.60","15.59","275.00","5.17","106.00","72.00","160.00"
"Q3-26","114.00","13.40","142.00","173.33","123.86","10.85","140.00","16.10","23.50","141.67","10.84","201.00","162.00","170.00","3.60","13.40","220.00","3.53","87.00","65.00","145.00"
"Q4-26","23.24","14.50","14.69","25.88","28.20","41.73","17.26","2.70","5.52","10.80","0.87","42.60","35.73","31.12","2.96","2.46","24.93","3.30","83.00","64.00","141.00"
"Cal27","16.50","76.80","13.15","20.82","25.47","32.08","14.00","16.65","22.93","9.80","11.45","34.00","34.50","34.55","2.48","13.04","21.19","3.15","62.50","53.00","113.00"
"Cal28","14.00","66.61","12.60","20.25","23.23","28.52","13.55","16.20","20.26","9.55","11.10","27.50","34.25","34.30","2.48","11.31","19.30","3.00","49.25","43.00","95.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
