"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","503.33","305.00","397.50","500.00","661.11","18183333.00","527.22","301.25","540.71","476.11","527.78","515.00","300.63","320.89","11450000.00","305.00","697.86","9065625.00","","96.75","176.17"
"BITR Change","143.33","-12.22","-1.67","-0.71","-37.78","-4000000.00","-39.78","5.62","27.14","0.00","0.56","28.44","-3.12","0.00","-70000.00","-12.22","2.86","193750.00","","3.00","7.17"
"MTD","396.46","331.39","398.54","491.14","700.28","22302777.50","590.03","295.94","493.21","475.69","545.83","486.95","297.25","320.51","11517500.00","331.39","697.32","8707031.25","120.13","93.00","168.38"
"MTD Change","35.62","-12.22","-0.35","2.21","-13.06","-1373148.17","-20.94","1.77","15.83","0.14","-6.02","9.35","0.84","0.09","-22500.00","-12.22","0.18","119531.25","0.00","1.25","2.60"
"Apr-26","519.29","15.99","360.00","420.00","145.55","20.00","450.00","18.30","26.90","450.00","12.97","500.00","270.00","280.00","10.40","15.99","545.00","8.50","130.92","92.00","173.61"
"May-26","400.00","15.59","250.00","360.00","145.55","17.50","350.00","17.80","26.50","300.00","12.67","385.00","210.00","215.00","8.00","15.59","475.00","7.00","136.00","89.00","172.00"
"Jun-26","305.00","15.19","180.00","270.00","145.55","14.50","200.00","17.30","26.10","200.00","12.37","315.00","175.00","195.50","6.00","15.19","348.00","6.00","125.00","80.00","165.00"
"Jul-26","216.00","13.40","150.00","200.00","123.86","13.75","150.00","16.10","23.50","150.00","10.84","280.00","162.00","180.00","4.80","13.40","310.00","5.00","112.00","78.00","163.00"
"Aug-26","151.50","13.40","145.00","175.00","123.86","13.05","135.00","16.10","23.50","140.00","10.84","260.00","160.00","160.00","4.00","13.40","295.00","4.00","107.00","76.00","159.00"
"Q2-26","408.10","15.59","263.33","350.00","145.55","17.33","333.33","17.80","26.50","316.67","12.67","400.00","218.33","230.17","8.13","15.59","456.00","7.17","130.64","87.00","170.20"
"Q3-26","168.67","13.40","145.00","183.33","123.86","13.10","140.00","16.10","23.50","141.67","10.84","260.00","162.00","170.00","4.00","13.40","295.00","4.03","107.00","76.00","160.00"
"Q4-26","32.61","14.50","14.94","26.58","28.20","50.93","17.26","2.70","5.52","10.80","0.87","50.53","35.73","31.12","2.96","2.46","28.25","3.30","95.00","68.00","156.00"
"Cal27","19.50","76.80","13.45","20.82","25.47","33.70","14.00","16.65","22.93","9.80","11.45","34.00","34.50","34.55","2.48","13.04","24.25","3.15","68.00","54.50","118.50"
"Cal28","15.40","66.61","12.70","20.25","23.23","28.70","13.55","16.20","20.26","9.55","11.10","27.50","34.25","34.30","2.48","11.31","20.00","3.00","53.25","43.00","95.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
