"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","55.50","96.22","122.92","150.86","171.11","8397500.00","178.33","91.25","197.14","138.33","126.94","125.63","155.63","180.29","2841667.00","96.22","241.43","4099604.00","67.58","64.00","119.50"
"BITR Change","-2.50","7.22","-2.50","0.36","-4.17","-97500.00","-6.95","1.25","-25.00","1.66","1.38","0.63","3.32","-0.71","-8333.00","7.22","10.00","2773.00","-0.42","-0.50","-0.67"
"MTD","57.73","95.30","124.86","147.16","188.67","8348611.11","151.74","88.92","197.58","122.24","105.03","135.97","142.45","184.71","2659444.44","95.30","198.38","4181475.00","67.78","64.78","122.46"
"MTD Change","0.48","-0.87","-0.97","2.57","-7.60","146611.11","14.16","0.49","17.51","9.21","10.03","-8.65","6.89","-1.74","-343888.96","-0.87","19.87","-74784.60","1.14","-0.17","-1.04"
"Oct-24","59.50","98.25","130.00","153.00","180.51","8.50","140.00","105.00","174.40","160.00","136.05","135.40","160.00","200.00","2.96","98.25","217.15","4.75","67.30","54.00","120.35"
"Nov-24","69.50","109.00","141.00","166.00","178.25","9.65","145.00","140.00","157.00","167.50","200.00","157.00","180.00","215.00","3.04","109.00","240.00","5.00","65.00","59.00","120.00"
"Dec-24","71.25","114.00","152.50","177.00","185.00","9.90","150.00","165.00","172.50","175.00","240.00","169.00","190.00","230.00","3.12","114.00","258.00","5.25","66.00","64.00","121.00"
"Jan-25","69.92","104.90","145.24","156.77","179.29","9.65","145.66","158.89","154.41","172.29","235.53","164.94","176.83","204.03","2.66","104.90","251.90","5.15","59.00","59.00","108.00"
"Feb-25","67.62","101.98","139.68","153.10","169.76","9.30","140.99","152.59","144.64","164.96","222.07","158.74","174.54","201.31","2.62","101.98","243.46","4.65","57.00","59.00","108.00"
"Q4-24","66.75","107.08","141.17","165.33","181.25","9.35","145.00","136.67","167.97","167.50","192.02","153.80","176.67","215.00","3.04","107.08","238.38","5.00","66.10","59.00","120.45"
"Q1-25","67.62","101.98","139.68","153.10","169.76","9.32","140.99","153.85","146.46","164.96","222.07","159.57","174.54","201.31","2.62","101.98","243.46","4.65","57.00","59.00","108.00"
"Q2-25","59.80","88.58","121.14","143.10","147.14","8.30","126.98","142.50","129.43","142.96","185.73","148.20","169.95","193.14","2.50","88.58","229.11","3.95","56.67","57.00","106.00"
"Cal25","13.70","90.62","10.46","22.20","32.46","32.28","14.35","22.20","29.41","10.50","14.80","36.25","37.75","36.25","2.56","15.55","27.50","4.15","60.00","61.75","110.50"
"Cal26","12.80","87.12","10.10","21.70","30.30","30.00","14.00","20.50","27.70","10.00","13.30","35.20","36.50","36.00","2.56","14.95","27.40","3.85","61.00","60.25","107.50"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
