"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","47.15","64.77","99.06","143.21","115.31","8261111.00","101.17","171.75","140.00","185.00","139.44","138.13","150.50","220.00","2816667.00","64.77","217.14","3381250.00","98.07","166.57"
"BITR Change","-0.14","-0.34","1.56","-2.15","1.25","11111.00","3.17","-6.50","-0.83","-0.56","2.50","-6.87","0.19","1.79","-75000.00","-0.34","-0.72","-193750.00","-1.79","1.64"
"MTD","48.32","66.33","99.92","148.84","118.30","8236419.78","93.41","166.83","139.21","181.76","142.82","160.68","158.77","212.80","2924537.22","66.33","234.68","3773015.89","101.63","165.60"
"MTD Change","-0.15","-0.19","-0.30","-0.50","-0.37","3086.40","0.97","0.61","0.10","0.41","-0.42","-2.82","-1.21","0.77","-13483.78","-0.19","-2.19","-48970.74","-0.45","0.12"
"Aug-23","49.31","72.05","103.00","150.00","123.15","8.25","92.00","165.45","136.00","175.00","149.47","150.00","160.00","197.00","2.80","72.05","236.50","3.75","99.78","167.02"
"Sep-23","57.00","86.00","114.00","154.00","141.00","8.70","100.00","183.00","143.00","155.00","173.00","155.00","175.00","190.00","2.40","86.00","233.00","3.65","108.50","170.00"
"Oct-23","63.00","92.00","125.00","152.00","160.00","9.55","120.00","182.00","141.00","140.00","205.00","154.00","185.00","190.00","2.24","92.00","240.00","3.60","104.00","165.00"
"Nov-23","65.00","96.75","137.50","160.00","163.50","9.80","140.00","186.00","147.00","150.00","240.00","162.00","192.50","195.00","2.32","96.75","245.00","3.65","99.00","165.00"
"Dec-23","67.75","102.25","150.00","165.00","168.50","10.20","160.00","190.00","153.00","160.00","284.00","173.00","200.00","200.00","2.40","102.25","250.00","3.70","97.50","165.00"
"Q4-23","65.25","97.00","137.50","159.00","164.00","9.85","140.00","186.00","147.00","150.00","243.00","163.00","192.50","195.00","2.32","97.00","245.00","3.65","100.17","165.00"
"Q1-24","60.22","90.62","134.93","137.15","157.74","9.15","143.35","172.97","126.60","115.27","169.25","148.58","174.71","193.63","2.26","90.62","217.80","3.50","86.50","130.00"
"Q2-24","12.50","14.30","10.30","21.50","30.30","28.89","15.50","26.25","29.10","7.00","12.75","38.35","42.30","38.50","27.80","14.30","27.75","36.11","69.00","117.50"
"Cal24","13.50","15.45","10.50","22.00","32.15","31.25","15.50","26.35","29.60","7.31","12.84","39.05","42.50","39.00","28.00","15.45","28.05","36.11","72.88","117.63"
"Cal25","12.82","14.40","10.25","21.50","30.85","29.07","14.80","24.50","27.75","7.00","12.50","36.50","42.25","37.25","27.00","14.40","27.35","33.89","65.75","103.75"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
