"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","47.86","65.80","97.50","0.00","112.81","8277778.00","96.33","176.25","132.50","182.78","136.78","148.93","0.00","0.00","2916667.00","65.80","221.43","3657143.00","101.43","165.21"
"BITR Change","-1.02","-0.79","0.31","0.00","-5.00","-16666.00","3.55","10.00","0.00","3.34","-6.00","-5.45","0.00","0.00","-33333.00","-0.79","-10.00","-61607.00","-0.57","-0.29"
"MTD","48.64","66.73","100.66","149.91","119.33","8230952.43","91.64","164.50","138.87","180.75","144.14","166.14","161.51","211.83","2944643.00","66.73","239.59","3857270.43","102.40","165.55"
"MTD Change","-0.13","-0.15","-0.88","0.00","-1.09","7804.26","0.78","1.96","-1.06","0.34","-1.23","-2.87","0.00","0.00","-4662.67","-0.15","-3.03","-33354.57","-0.16","-0.06"
"Aug-23","49.81","68.38","103.00","150.00","123.45","8.06","92.00","171.00","132.71","175.00","148.73","158.00","165.00","197.00","2.80","68.38","236.50","3.75","104.50","167.00"
"Sep-23","57.00","82.00","114.00","154.00","139.00","8.75","100.00","171.00","130.00","155.00","173.00","147.00","175.00","190.00","2.40","82.00","232.75","3.65","106.50","167.00"
"Oct-23","62.00","90.50","125.00","152.00","157.00","9.45","120.00","170.00","132.00","140.00","210.00","148.50","185.00","190.00","2.24","90.50","234.00","3.60","102.50","158.00"
"Nov-23","63.50","95.25","137.50","160.00","161.00","9.65","140.00","172.00","137.00","150.00","240.00","158.00","192.50","195.00","2.32","95.25","235.50","3.65","97.50","158.00"
"Dec-23","66.50","100.75","150.00","165.00","168.00","10.15","160.00","177.00","142.00","160.00","270.00","169.00","200.00","200.00","2.40","100.75","237.00","3.70","96.00","158.00"
"Q4-23","64.00","95.50","137.50","159.00","162.00","9.75","140.00","173.00","137.00","150.00","240.00","158.50","192.50","195.00","2.32","95.50","235.50","3.65","98.67","158.00"
"Q1-24","59.89","90.89","134.93","137.15","157.74","9.10","143.35","153.20","122.47","115.27","169.25","143.44","174.71","193.63","2.26","90.89","217.80","3.50","84.50","130.00"
"Q2-24","12.50","14.25","10.30","21.50","30.30","28.70","15.50","24.50","28.60","7.00","12.75","36.55","42.30","38.50","27.80","14.25","27.75","36.11","66.50","117.50"
"Cal24","13.53","15.45","10.50","22.00","32.15","31.16","15.50","24.95","28.85","7.31","12.84","37.65","42.50","39.00","28.00","15.45","28.05","36.11","71.25","116.88"
"Cal25","12.70","14.40","10.25","21.50","30.85","29.07","14.80","23.60","27.25","7.00","12.50","36.00","42.25","37.25","27.00","14.40","27.35","33.89","64.75","103.75"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
