"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","35.96","71.57","95.00","107.50","99.69","7044444.00","85.72","180.75","98.33","190.00","216.67","164.69","194.06","253.57","2912500.00","71.57","292.14","3737500.00","155.57","123.57"
"BITR Change","-0.12","0.09","-1.57","2.50","-0.31","-22223.00","-2.28","0.00","-12.50","0.00","7.25","8.13","2.50","2.14","-4167.00","0.09","1.07","62500.00","0.86","0.57"
"MTD","36.67","71.98","97.30","103.34","107.15","7193364.11","93.20","186.44","126.56","190.89","213.27","148.52","195.66","247.77","2925925.89","71.98","290.08","3807093.22","143.90","203.51"
"MTD Change","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sep-23","38.10","71.00","95.50","108.00","104.00","7.00","93.00","184.00","112.00","194.00","216.00","158.51","195.00","240.00","2.88","71.00","270.00","3.75","150.00","220.00"
"Oct-23","47.25","78.00","105.00","125.00","123.00","7.80","110.00","184.00","125.00","185.00","270.00","163.00","217.00","230.00","2.64","78.00","248.00","3.80","145.00","210.00"
"Nov-23","54.00","86.00","115.00","137.00","140.00","8.55","125.00","193.00","134.00","195.00","283.00","170.00","192.50","240.00","2.72","86.00","260.00","3.90","123.00","195.00"
"Dec-23","58.50","100.00","125.00","145.25","154.00","9.20","145.00","199.00","152.00","205.00","299.00","178.00","200.00","250.00","2.80","100.00","284.00","3.95","114.00","193.00"
"Jan-24","56.74","93.24","125.47","143.11","142.61","8.90","147.70","183.72","128.26","165.71","268.73","165.13","174.71","196.08","2.56","93.24","238.26","3.95","112.00","170.00"
"Q4-23","53.25","88.00","115.00","135.75","139.00","8.52","126.67","192.00","137.00","195.00","284.00","170.33","203.17","240.00","2.72","88.00","264.00","3.88","127.33","199.33"
"Q1-24","53.26","85.39","122.95","137.15","138.29","8.35","143.35","175.00","124.12","158.50","264.86","159.62","174.71","193.63","2.56","85.39","234.47","3.85","103.50","160.00"
"Q2-24","12.40","13.80","9.25","21.00","29.25","28.15","15.50","26.10","26.75","10.00","14.65","41.20","42.30","38.50","30.00","13.80","28.70","40.00","79.00","131.00"
"Cal24","12.82","14.90","9.13","21.75","30.50","29.95","15.50","25.45","27.75","10.00","15.50","41.48","42.50","39.00","30.00","14.90","29.20","40.00","82.63","138.25"
"Cal25","12.30","14.10","8.90","21.50","29.20","28.89","14.80","25.00","27.10","9.00","12.75","37.20","42.25","37.25","29.00","14.10","27.70","34.44","66.25","114.00"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
