"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","54.08","120.86","208.57","182.79","200.31","9505556.00","216.22","141.25","110.00","175.00","189.44","173.13","183.13","220.79","3583333.00","120.86","240.71","4481250.00","115.43","102.40","184.43"
"BITR Change","-0.09","2.22","-1.25","1.72","-0.32","-261111.00","1.89","0.00","7.50","1.67","2.22","-2.50","-1.68","-10.14","-25000.00","2.22","-3.93","12500.00","1.57","0.20","-1.71"
"MTD","50.05","95.28","125.13","162.75","162.09","8649687.63","154.99","165.16","118.77","189.53","192.38","164.84","194.24","244.32","3302083.19","95.28","251.61","4122226.56","115.36","113.45","204.57"
"MTD Change","0.27","1.71","5.56","1.34","2.55","57057.89","4.08","-1.59","-0.58","-0.97","-0.20","0.55","-0.74","-1.57","18749.99","1.71","-0.73","23934.90","0.00","-0.74","-1.34"
"Oct-23","51.50","101.67","148.00","167.00","175.00","8.85","170.00","166.00","118.00","183.00","195.00","168.50","193.00","243.00","3.32","101.67","251.60","4.18","115.00","110.31","199.90"
"Nov-23","58.50","113.00","170.00","173.00","194.00","9.40","165.00","193.00","145.00","185.00","235.00","174.00","193.00","240.00","2.96","113.00","258.00","4.25","123.00","102.00","190.00"
"Dec-23","60.00","112.00","165.00","178.50","190.00","9.40","170.00","212.00","165.00","195.00","290.00","184.00","200.00","250.00","2.88","112.00","262.50","4.40","121.50","97.00","185.00"
"Jan-24","13.70","95.60","11.50","26.00","37.40","31.85","17.50","32.25","31.85","11.50","20.50","46.70","42.70","40.00","2.64","18.25","32.50","4.30","111.50","93.00","180.00"
"Feb-24","13.45","90.36","11.00","25.00","35.60","31.85","17.00","31.65","31.05","11.00","18.30","45.85","42.70","39.50","2.56","17.25","32.00","4.20","99.50","84.00","170.00"
"Q4-23","56.67","108.89","161.00","172.83","186.33","9.22","168.33","190.33","142.67","187.67","240.00","175.50","195.33","244.33","3.05","108.89","257.37","4.28","119.83","103.10","191.63"
"Q1-24","13.50","89.31","11.05","25.00","35.50","31.73","17.00","31.30","31.00","11.00","18.80","45.90","42.70","39.50","2.56","17.05","32.00","4.20","99.00","85.67","170.00"
"Q2-24","13.00","78.84","10.25","21.50","32.05","30.93","16.00","28.00","28.70","10.00","14.75","41.60","42.30","38.50","2.40","15.05","29.40","3.70","99.00","85.67","135.00"
"Cal24","13.50","82.77","10.10","22.63","32.90","32.05","16.00","27.90","29.15","10.00","15.10","42.50","42.50","39.00","2.40","15.80","30.00","3.77","84.00","71.17","143.00"
"Cal25","12.95","75.96","9.20","21.75","30.40","30.74","15.20","25.30","27.50","9.00","12.45","37.75","42.25","37.25","2.32","14.50","28.25","3.25","69.25","58.00","114.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
