"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","213.83","181.67","194.17","227.14","277.50","17094444.00","226.94","125.94","262.14","248.89","188.06","201.99","182.50","223.21","4887500.00","181.67","256.07","4493750.00","95.67","82.75","149.33"
"BITR Change","8.83","14.17","-0.83","9.71","1.94","1226111.00","-20.00","2.25","8.57","0.56","-1.66","8.55","7.28","2.71","18750.00","14.17","21.78","325000.00","-1.00","0.00","-0.08"
"MTD","153.48","160.11","192.41","219.04","288.55","14368971.56","247.69","138.57","255.26","237.30","226.06","192.33","184.71","225.21","4921666.67","160.11","224.94","4190426.61","95.55","85.66","154.49"
"MTD Change","3.55","14.17","0.10","0.54","-0.65","160321.91","-1.22","-0.74","0.40","0.68","-2.24","0.57","-0.15","-0.13","-2009.80","14.17","1.83","17842.55","0.01","-0.17","-0.30"
"Feb-26","159.75","16.50","192.50","220.00","166.85","14.63","246.00","17.85","27.60","238.00","14.63","193.25","184.25","225.00","4.92","16.50","228.00","4.20","95.00","85.00","153.91"
"Mar-26","223.00","15.82","165.00","225.00","166.55","16.00","215.00","18.60","26.00","210.00","14.35","235.00","170.00","203.50","4.24","15.82","272.50","3.85","82.00","75.00","140.00"
"Apr-26","202.00","15.99","157.50","200.00","145.55","13.75","190.00","18.30","26.90","190.00","12.97","230.00","165.00","199.50","3.84","15.99","250.00","3.65","80.00","70.00","137.00"
"May-26","156.50","15.59","152.50","190.00","145.55","12.50","170.00","17.80","26.50","170.00","12.67","204.00","163.50","197.50","3.56","15.59","236.00","3.55","78.00","67.50","136.00"
"Jun-26","139.50","15.19","143.00","170.00","145.55","11.50","150.00","17.30","26.10","135.00","12.37","190.00","162.00","195.50","3.04","15.19","228.00","3.45","76.00","65.00","135.00"
"Q2-26","166.00","15.59","151.00","186.67","145.55","12.58","170.00","17.80","26.50","165.00","12.67","208.00","163.50","197.50","3.48","15.59","238.00","3.55","78.00","67.50","136.00"
"Q3-26","115.00","13.40","142.50","148.75","123.86","9.70","125.00","16.10","23.50","128.33","10.84","186.00","162.00","195.00","2.72","13.40","222.00","3.13","68.17","63.00","128.00"
"Q4-26","23.44","14.50","14.79","22.91","28.20","39.44","17.26","2.70","5.52","10.80","0.87","38.77","35.73","35.75","2.72","2.46","25.04","3.30","65.50","62.00","124.00"
"Cal27","16.75","76.80","12.14","20.32","25.47","31.25","14.00","16.65","22.93","9.80","11.45","32.50","34.50","34.55","2.48","13.04","21.19","3.15","56.25","53.00","106.50"
"Cal28","13.65","66.61","11.70","20.00","23.23","26.67","13.55","16.20","20.26","9.55","11.10","27.50","34.25","34.30","2.48","11.31","19.30","3.00","45.00","43.00","95.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
