"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","57.70","85.28","110.00","139.79","158.06","8047500.00","124.70","152.50","90.00","199.44","147.78","138.44","158.25","183.57","2850000.00","85.28","222.14","3375000.00","45.00","49.50","94.33"
"BITR Change","-0.40","0.28","10.00","-0.92","1.39","-75000.00","2.12","-2.81","0.00","-3.34","-9.72","-1.56","2.55","-2.50","0.00","0.28","-0.72","25000.00","0.50","1.75","3.00"
"MTD","62.54","90.92","109.10","143.24","139.61","8544251.50","133.22","158.25","102.93","193.93","190.66","130.53","137.19","183.99","2992916.65","90.92","200.51","3398750.00","45.90","47.74","91.60"
"MTD Change","-2.05","-1.00","0.93","-0.15","9.33","-356998.50","-0.97","-4.72","-5.29","-3.05","2.80","8.73","9.53","12.29","-128958.23","-1.00","11.41","58906.25","-1.71","-0.52","-0.50"
"Feb-25","62.60","90.92","109.10","143.25","139.50","8.55","133.10","158.40","103.00","194.00","191.00","130.75","137.00","184.00","2.99","90.92","200.00","3.40","45.87","47.65","91.30"
"Mar-25","61.75","89.00","112.00","137.00","146.75","8.40","130.00","145.00","115.00","170.00","162.00","135.00","140.00","185.00","2.58","89.00","202.00","3.50","49.00","51.00","95.50"
"Apr-25","59.75","85.00","110.00","134.00","134.25","8.30","123.25","140.00","129.00","160.00","160.00","129.00","150.00","185.00","2.50","85.00","188.00","3.25","50.50","51.00","99.00"
"May-25","57.75","83.00","107.25","132.00","128.50","8.00","118.00","136.00","126.00","150.00","158.00","125.00","160.00","183.00","2.50","83.00","186.00","3.10","51.00","51.00","99.50"
"Jun-25","56.50","81.75","106.00","130.00","128.00","7.70","118.00","132.00","123.00","140.00","161.00","122.50","170.50","181.00","2.50","81.75","184.00","3.05","51.50","51.00","100.00"
"Q2-25","58.00","83.25","107.75","132.00","130.25","8.00","119.75","136.00","126.00","150.00","159.67","125.50","160.17","183.00","2.50","83.25","186.00","3.13","51.00","51.00","99.50"
"Q3-25","50.00","68.75","106.00","125.00","110.25","6.90","117.50","126.00","112.00","129.75","152.00","119.50","171.25","175.00","2.48","68.75","180.00","2.95","56.00","55.00","104.00"
"Q4-25","58.50","76.75","126.00","144.00","122.25","8.05","135.25","130.50","122.00","157.00","179.00","113.75","180.50","190.00","2.64","76.75","184.00","3.05","58.00","59.00","108.00"
"Cal26","11.60","69.49","10.00","20.75","22.81","27.64","14.20","17.00","22.10","10.00","12.47","23.70","34.75","34.75","2.56","11.80","22.68","3.25","55.00","55.00","107.00"
"Cal27","11.40","68.32","9.80","20.50","22.75","27.22","13.75","17.00","21.80","9.75","12.15","23.55","36.00","34.50","2.48","11.60","22.20","3.10","52.75","55.00","107.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
