"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","42.05","91.50","125.00","139.29","188.89","7100000.00","142.33","130.63","171.43","171.11","230.00","110.31","126.75","160.00","3079167.00","91.50","197.14","3393750.00","51.33","55.50","101.00"
"BITR Change","-1.05","-0.28","1.25","-0.35","-2.44","-67500.00","-1.23","3.44","5.36","21.11","25.56","-1.57","0.94","0.00","-8333.00","-0.28","-1.43","6250.00","1.17","-0.25","0.00"
"MTD","43.48","89.16","125.07","139.50","164.98","7173333.33","143.67","123.70","151.90","155.79","181.66","110.99","122.93","160.00","3107638.83","89.16","192.50","3415625.00","50.33","56.47","101.87"
"MTD Change","-0.64","2.62","-0.21","0.26","25.72","-27500.00","-0.67","4.53","13.33","1.16","20.55","0.26","2.53","0.00","-22916.50","2.62","5.59","-15625.00","0.28","-0.80","-0.93"
"Dec-24","44.46","88.40","131.00","140.00","167.00","7.00","150.00","141.86","167.00","160.00","219.40","116.65","135.00","175.00","2.88","88.40","199.00","3.40","52.06","56.00","100.54"
"Jan-25","50.37","85.96","132.26","146.76","159.05","7.35","144.72","138.71","155.31","172.29","195.15","124.02","176.83","198.59","2.66","85.96","198.31","3.30","49.75","54.00","100.00"
"Feb-25","54.05","84.50","126.70","143.10","149.05","7.65","140.06","136.51","143.05","164.96","179.00","129.19","174.54","195.87","2.62","84.50","198.31","3.40","49.75","54.00","98.50"
"Mar-25","54.28","83.04","121.14","139.43","138.81","7.75","135.39","135.25","137.60","157.62","176.99","134.35","172.25","193.14","2.58","83.04","199.58","3.50","49.75","54.00","97.00"
"Apr-25","53.59","77.80","120.52","138.43","132.86","7.80","129.79","130.20","131.70","150.29","176.99","124.22","171.10","190.42","2.50","77.80","200.84","3.40","51.50","53.00","99.00"
"Q1-25","52.90","84.50","126.70","143.10","148.97","7.58","140.06","136.82","145.32","164.96","183.71","129.19","174.54","195.87","2.62","84.50","198.73","3.40","51.00","54.00","98.50"
"Q2-25","53.36","75.17","119.28","137.09","130.95","7.75","126.05","129.57","127.16","142.96","173.62","123.19","169.95","187.70","2.50","75.17","200.84","3.30","51.50","53.00","99.00"
"Q3-25","49.68","66.43","115.57","133.42","117.38","7.10","123.72","119.80","120.35","139.30","152.09","116.99","169.50","186.34","2.48","66.43","183.12","3.20","53.00","57.00","101.00"
"Cal25","11.72","76.12","10.11","21.00","27.73","28.64","14.25","20.26","29.00","10.50","12.82","29.63","37.25","35.25","2.56","13.06","23.06","3.30","52.88","57.25","101.50"
"Cal26","11.40","73.43","10.00","20.75","25.30","27.59","14.20","19.20","27.40","10.00","12.30","29.00","36.50","34.75","2.56","12.60","22.95","3.25","56.50","59.75","107.50"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
