"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","46.35","99.17","128.33","171.36","185.56","7345000.00","150.89","179.06","171.79","170.83","246.67","215.94","193.75","264.29","3866667.00","99.17","247.86","5737500.00","56.29","52.00","93.86"
"BITR Change","-0.18","-0.11","7.81","-1.07","2.78","10000.00","-0.28","0.62","15.00","0.27","11.67","0.00","-2.50","-2.50","16667.00","-0.11","0.00","-31250.00","-3.00","-0.60","-1.57"
"MTD","47.89","100.57","131.67","177.72","177.93","7545250.00","151.88","183.00","176.27","168.61","201.22","223.53","214.50","283.65","3858333.30","100.57","257.29","5848750.00","62.08","58.25","104.45"
"MTD Change","-0.36","-0.34","-0.73","-1.46","1.78","-51312.50","-0.21","-1.06","-3.42","0.52","9.90","-1.90","-4.88","-4.53","0.05","-0.34","-2.36","-23906.25","-1.07","-1.49","-2.45"
"Jul-24","47.60","96.75","130.00","173.90","181.50","7.40","153.00","183.78","184.50","165.00","221.50","209.50","225.00","275.00","3.60","96.75","260.00","5.60","56.95","54.50","97.98"
"Aug-24","53.25","91.50","126.00","164.00","170.00","7.35","145.00","184.00","178.50","157.50","207.00","195.00","205.00","250.00","3.20","91.50","265.00","5.30","56.00","55.00","103.00"
"Sep-24","57.50","93.50","129.50","166.50","167.00","7.90","138.00","182.00","165.00","150.00","207.00","191.00","195.00","245.00","2.96","93.50","264.00","5.00","65.00","61.00","108.00"
"Oct-24","66.00","103.00","143.00","180.00","180.50","9.05","142.00","184.50","164.00","160.00","223.00","191.00","200.00","245.00","2.96","103.00","274.00","5.20","66.00","68.00","117.00"
"Nov-24","71.50","111.50","146.50","185.00","192.00","9.75","146.00","188.50","172.00","167.50","253.00","193.00","210.00","240.00","3.04","111.50","279.00","5.40","67.00","69.00","119.00"
"Q3-24","52.78","93.92","128.50","168.13","172.83","7.55","145.33","183.26","176.00","157.50","211.83","198.50","208.33","256.67","3.25","93.92","263.00","5.30","59.32","56.83","102.99"
"Q4-24","70.50","110.50","148.50","185.00","191.50","9.69","145.00","189.00","172.00","167.50","253.00","193.00","210.00","240.00","3.04","110.50","279.33","5.40","67.00","69.00","117.50"
"Q1-25","68.31","104.90","142.77","156.44","177.86","9.55","144.72","192.31","156.68","164.96","228.80","180.86","186.93","206.75","2.62","104.90","255.27","5.00","60.00","61.00","113.00"
"Cal25","14.05","96.74","10.80","22.70","34.75","33.15","14.75","27.95","32.50","10.50","15.50","40.70","40.00","37.25","2.56","16.60","28.75","4.50","63.50","64.75","114.25"
"Cal26","13.30","90.03","10.30","22.20","32.20","31.30","14.35","25.95","28.65","10.00","14.30","38.00","39.00","37.00","2.56","15.45","27.45","3.90","61.25","65.50","116.50"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
