"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","77.10","86.39","109.58","133.57","135.56","6460000.00","122.22","174.06","141.43","189.17","167.78","174.69","160.31","178.21","3115000.00","86.39","229.29","4412500.00","59.67","56.38","100.67"
"BITR Change","5.10","2.50","-5.00","2.07","-5.00","145000.00","18.66","2.18","2.86","4.45","17.78","-0.62","0.62","10.28","-8333.00","2.50","-9.28","-12500.00","0.33","-1.50","-2.17"
"MTD","53.90","70.83","114.31","131.99","137.17","6808245.06","115.89","129.60","119.22","156.45","147.37","148.09","142.83","163.08","3165934.36","70.83","211.35","3794460.27","59.27","57.93","104.11"
"MTD Change","12.44","-15.65","-15.15","-4.18","-33.44","0.00","-31.38","-1.01","-60.08","-16.29","-40.94","37.61","13.18","3.18","40689.30","-15.65","10.34","527180.86","2.27","-1.57","-3.37"
"Jan-25","64.50","80.50","118.00","132.50","136.75","8.50","120.00","147.00","130.00","160.50","160.00","157.00","155.00","170.00","2.66","80.50","217.40","4.00","59.12","58.00","105.00"
"Feb-25","66.00","90.50","117.00","138.00","144.75","9.20","125.00","160.00","123.50","153.75","195.00","150.00","165.00","175.00","2.62","90.50","225.00","4.45","54.00","54.00","107.00"
"Mar-25","65.00","90.50","113.00","139.00","144.75","9.00","126.00","155.00","126.00","147.00","175.00","148.00","170.00","185.00","2.58","90.50","217.00","4.25","53.50","54.00","107.00"
"Apr-25","65.00","90.00","110.00","138.00","143.75","9.00","123.25","153.00","133.00","140.00","175.00","139.00","172.75","185.00","2.50","90.00","207.00","3.80","54.00","53.00","105.00"
"May-25","64.00","88.00","108.00","137.00","142.75","8.90","118.00","150.00","130.00","130.50","175.00","135.00","171.75","182.00","2.50","88.00","203.00","3.70","55.00","53.00","105.00"
"Q1-25","65.17","87.17","116.00","136.50","142.08","8.90","123.67","154.00","126.50","153.75","176.67","151.67","163.33","176.67","2.62","87.17","219.80","4.23","55.54","55.33","106.33"
"Q2-25","64.00","88.00","108.00","137.00","142.75","8.90","119.75","150.00","130.00","133.33","175.00","135.00","171.67","182.33","2.50","88.00","203.00","3.67","55.00","53.00","105.00"
"Q3-25","57.00","76.50","106.00","134.25","128.75","8.00","117.50","135.00","129.00","129.75","168.00","120.00","171.25","175.00","2.48","76.50","190.00","3.50","57.00","57.00","108.00"
"Cal26","12.50","72.73","10.00","20.75","25.25","29.72","14.20","18.54","27.10","10.00","12.55","26.81","34.75","34.75","2.56","12.35","22.98","3.25","59.75","59.75","108.75"
"Cal27","12.00","69.49","9.80","20.50","23.99","28.33","13.75","18.25","26.80","9.75","12.15","26.10","36.00","34.50","2.48","11.80","22.40","3.10","59.75","59.75","108.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
