"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","83.50","126.94","150.42","172.50","189.44","12063889.00","201.17","105.94","193.57","162.78","156.61","121.25","146.16","182.86","3109800.00","126.94","205.71","3400000.00","58.42","60.75","113.25"
"BITR Change","-9.83","-3.62","1.25","5.36","-0.84","-369444.00","2.28","-1.25","12.14","0.56","16.89","0.31","1.75","-1.00","10800.00","-3.62","0.71","150000.00","-0.92","-0.50","-1.17"
"MTD","86.06","116.22","142.02","158.59","163.75","10942159.50","166.68","111.02","206.90","156.37","138.58","116.72","134.22","186.76","3075162.50","116.22","198.75","3113437.50","63.60","68.09","124.87"
"MTD Change","-0.17","0.71","0.56","0.99","1.71","74781.97","2.30","-0.34","-0.89","0.43","1.20","0.30","0.85","-0.28","2309.17","0.71","0.46","19104.17","-0.35","-0.49","-0.77"
"Oct-25","85.00","119.00","144.50","160.00","168.27","11.35","170.00","117.00","203.00","157.00","146.00","121.90","140.00","192.00","3.04","119.00","204.53","3.15","61.89","65.75","121.26"
"Nov-25","80.00","120.00","145.00","170.00","183.87","11.25","160.00","128.00","182.00","160.00","172.00","142.00","160.00","195.00","2.80","120.00","210.00","3.50","61.00","62.00","116.00"
"Dec-25","78.50","117.50","142.50","165.00","178.87","10.70","160.00","142.00","186.00","175.00","200.00","154.00","169.00","200.00","2.92","117.50","215.00","3.80","63.50","64.00","121.00"
"Jan-26","74.98","102.89","129.94","145.20","154.59","9.50","135.31","130.62","142.99","150.96","187.01","140.96","165.89","195.20","2.64","102.89","203.74","3.80","60.50","62.00","120.50"
"Feb-26","65.78","96.41","126.82","143.19","153.13","8.80","132.65","128.66","140.68","146.86","183.00","138.89","164.50","193.57","2.62","96.41","201.19","3.50","60.50","62.00","118.00"
"Q4-25","81.17","118.83","144.00","165.00","177.00","11.10","163.33","129.00","190.33","160.00","172.67","139.30","165.00","195.00","2.92","118.83","209.84","3.48","62.13","63.92","119.42"
"Q1-26","67.62","96.41","126.82","143.19","153.13","9.00","132.65","128.66","140.68","146.86","183.00","138.89","164.50","193.57","2.62","96.41","201.19","3.50","60.50","62.00","118.83"
"Q2-26","13.00","84.04","11.00","20.50","28.10","29.44","13.45","18.64","27.35","9.25","11.95","30.50","34.00","34.00","2.50","14.27","22.70","3.30","58.00","60.00","118.00"
"Cal26","13.10","85.38","11.20","20.84","28.20","29.54","14.20","18.22","27.54","10.00","12.30","30.80","34.75","34.75","2.56","14.50","22.70","3.30","59.25","60.75","118.21"
"Cal27","11.80","73.03","10.45","20.50","24.91","27.41","13.75","16.60","20.50","9.75","11.10","26.25","34.50","34.50","2.48","12.40","19.85","3.15","53.00","53.00","109.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
