"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","137.00","152.22","186.67","227.71","269.72","13847222.00","244.17","146.25","290.00","214.17","260.56","210.31","212.14","232.96","4975000.00","152.22","257.86","4425000.00","95.56","87.63","159.08"
"BITR Change","-2.28","-2.78","6.67","-0.22","8.05","-35667.00","-1.05","3.75","52.14","9.73","-0.55","-4.38","-1.07","-1.33","0.00","-2.78","-10.71","-56250.00","4.22","0.25","0.25"
"MTD","139.74","154.44","195.70","227.31","277.13","13860037.00","246.74","142.92","250.00","206.85","258.33","213.96","213.33","237.35","4970833.33","154.44","266.19","4487500.00","92.17","87.29","158.72"
"MTD Change","-1.37","-2.78","-4.51","0.20","-3.71","-6407.50","-1.28","1.67","20.00","3.66","1.11","-1.82","-0.59","-2.19","2083.33","-2.78","-4.17","-31250.00","1.69","0.17","0.18"
"Feb-26","130.00","16.50","175.00","220.00","166.85","13.50","225.00","17.85","27.60","185.00","14.63","203.50","195.00","230.00","4.48","16.50","247.50","4.20","89.48","85.00","155.56"
"Mar-26","122.00","15.82","152.50","195.00","166.55","13.00","190.00","18.60","26.00","165.00","14.35","211.00","182.50","203.50","4.00","15.82","255.00","3.85","79.50","75.00","142.00"
"Apr-26","115.50","15.99","135.00","165.00","145.55","12.25","170.00","18.30","26.90","155.00","12.97","187.50","172.50","199.50","3.60","15.99","235.00","3.65","75.00","70.00","133.50"
"May-26","105.00","15.59","130.00","158.00","145.55","11.10","150.00","17.80","26.50","145.00","12.67","173.50","167.75","197.50","3.36","15.59","227.50","3.55","69.00","67.50","129.00"
"Jun-26","97.50","15.19","125.00","150.00","145.55","10.00","130.00","17.30","26.10","135.00","12.37","165.50","166.75","195.50","3.04","15.19","220.00","3.45","69.00","65.00","128.00"
"Q2-26","106.00","15.59","130.00","157.67","145.55","11.12","150.00","17.80","26.50","145.00","12.67","175.50","169.00","197.50","3.33","15.59","227.50","3.55","71.00","67.50","130.17"
"Q3-26","82.00","13.40","105.00","148.75","123.86","8.77","115.00","16.10","23.50","128.33","10.84","157.00","167.75","195.00","2.72","13.40","202.50","3.13","65.00","63.00","125.00"
"Q4-26","18.16","14.50","12.18","22.91","28.20","37.04","16.05","2.70","5.52","10.80","0.87","33.47","35.73","35.75","2.72","2.46","22.60","3.30","62.50","62.00","120.50"
"Cal27","14.60","76.80","10.43","20.32","25.47","29.81","14.00","16.65","22.93","9.80","11.45","27.70","34.50","34.55","2.48","13.04","21.19","3.15","55.50","53.00","105.00"
"Cal28","12.35","66.61","10.00","20.00","23.23","25.93","13.55","16.20","20.26","9.55","11.10","25.45","34.25","34.30","2.48","11.31","19.30","3.00","45.00","43.00","95.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
