"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","54.75","97.73","180.00","187.36","164.38","8166667.00","180.50","180.00","196.07","240.56","264.44","193.44","177.19","206.07","4450000.00","97.73","262.14","5206250.00","132.57","115.80","218.29"
"BITR Change","-0.58","3.41","-0.31","1.57","4.69","-33333.00","8.22","-1.00","-3.22","-1.66","-0.56","11.56","5.00","1.07","41667.00","3.41","6.43","268750.00","4.71","3.40","5.86"
"MTD","61.05","98.51","143.39","185.50","160.09","8894404.79","140.05","193.02","237.37","224.51","264.68","144.84","160.61","207.60","3666666.71","98.51","235.93","3676585.71","127.96","113.61","208.14"
"MTD Change","-2.35","-1.71","2.64","0.10","-0.19","-307817.41","7.33","-2.26","-15.41","7.78","0.07","13.16","4.47","1.22","195000.01","-1.71","6.16","439990.71","-0.23","-0.13","2.01"
"Dec-23","60.50","98.80","147.75","185.00","162.50","8.81","145.00","191.40","232.00","225.00","264.50","150.49","162.00","207.00","3.72","98.80","239.00","3.82","128.84","113.91","209.63"
"Jan-24","13.55","106.86","12.95","27.00","45.50","30.19","16.50","33.50","45.50","11.00","20.35","52.50","42.70","40.00","4.00","20.40","37.75","5.30","132.00","110.00","210.00"
"Feb-24","13.40","99.53","11.70","26.50","42.00","29.81","16.00","32.00","35.75","10.50","18.25","51.50","42.50","39.50","3.76","19.00","36.50","5.00","122.00","105.00","200.00"
"Mar-24","13.25","95.34","11.20","26.00","39.55","29.26","15.50","29.60","33.95","10.00","16.00","50.80","42.30","39.00","3.52","18.20","36.00","4.70","115.00","100.00","185.00"
"Apr-24","12.95","84.60","11.00","23.20","34.65","29.26","15.25","29.70","32.00","10.00","15.55","46.25","41.00","38.75","2.44","16.15","32.95","4.30","102.00","96.00","170.00"
"Q1-24","13.40","100.58","11.95","26.50","42.35","29.75","16.00","31.70","38.40","10.50","18.20","51.60","42.50","39.50","3.76","19.20","36.75","5.00","123.00","105.00","198.33"
"Q2-24","12.95","83.55","10.80","22.70","34.25","29.26","15.00","29.00","31.00","10.00","14.55","46.00","41.00","38.50","2.40","15.95","32.75","4.30","96.00","96.00","167.00"
"Q3-24","12.20","74.91","10.35","22.10","30.00","28.15","14.00","23.40","26.00","9.00","12.75","38.95","40.00","38.50","2.24","14.30","29.20","4.00","96.00","96.00","158.67"
"Cal24","13.21","87.22","11.15","23.84","35.00","30.08","15.00","27.57","31.16","9.88","14.95","44.20","41.00","39.00","2.70","16.65","32.27","4.36","96.50","94.25","171.75"
"Cal25","12.90","79.36","10.60","22.50","31.00","29.44","14.50","26.20","28.00","9.00","12.75","37.00","40.50","37.25","2.32","15.15","27.70","3.60","79.00","70.00","130.41"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
