"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","93.00","128.06","142.50","155.36","165.83","11233333.00","167.00","107.19","224.29","150.83","130.00","111.56","144.38","185.50","2952000.00","128.06","231.07","2893750.00","61.08","64.75","117.50"
"BITR Change","-1.78","7.50","0.00","0.00","8.05","211889.00","3.11","0.94","29.29","-0.28","-5.00","0.93","1.88","0.21","-8000.00","7.50","2.50","12500.00","-1.42","-1.38","-3.00"
"MTD","83.03","109.22","140.19","156.88","155.23","10253898.73","156.01","112.13","199.06","155.88","139.08","116.05","130.04","187.74","3089363.64","109.22","190.62","3120681.82","65.33","70.88","129.40"
"MTD Change","1.00","1.88","0.23","-0.15","1.06","97943.43","1.10","-0.49","2.52","-0.51","-0.91","-0.45","1.43","-0.22","-13736.36","1.88","4.05","-22693.18","-0.42","-0.61","-1.19"
"Oct-25","88.76","120.06","140.00","155.50","166.73","10.50","150.00","117.00","199.00","145.00","147.50","119.50","161.00","192.00","2.96","120.06","201.22","3.00","61.37","67.70","122.93"
"Nov-25","85.00","125.00","142.50","160.00","188.53","10.50","150.00","129.00","183.00","160.00","170.00","133.00","165.00","195.00","2.80","125.00","200.00","3.50","62.00","62.00","117.50"
"Dec-25","80.00","120.00","140.00","160.00","182.53","10.20","160.00","142.00","188.00","175.00","198.00","145.50","169.00","200.00","2.92","120.00","208.00","3.80","61.00","64.00","120.00"
"Jan-26","74.98","103.65","129.94","142.86","155.98","9.30","135.31","127.04","137.67","150.96","194.78","134.74","165.89","195.20","2.64","103.65","202.89","3.80","60.00","62.00","120.00"
"Feb-26","66.24","97.17","126.82","140.85","154.52","8.60","132.65","125.08","135.35","146.86","190.76","132.67","164.50","193.57","2.62","97.17","200.34","3.50","60.00","62.00","120.00"
"Q4-25","84.59","121.69","140.83","158.50","179.26","10.40","153.33","129.33","190.00","160.00","171.83","132.67","165.00","195.00","2.89","121.69","203.07","3.43","61.46","64.57","120.14"
"Q1-26","68.08","97.17","126.82","140.85","154.52","8.80","132.65","125.08","135.35","146.86","190.76","132.67","164.50","193.57","2.62","97.17","200.34","3.50","60.00","62.00","120.00"
"Q2-26","13.20","85.39","11.00","20.50","27.91","30.00","13.45","18.45","26.80","9.25","12.30","30.75","34.00","34.00","2.50","14.50","22.60","3.30","58.00","60.00","118.00"
"Cal26","13.22","86.48","11.20","20.75","28.34","29.49","14.20","17.99","27.07","10.00","12.64","30.31","34.75","34.75","2.56","14.69","22.60","3.30","59.00","60.75","119.00"
"Cal27","11.95","75.38","10.45","20.50","25.05","27.41","13.75","16.60","20.50","9.75","11.10","26.25","34.50","34.50","2.48","12.80","19.85","3.15","53.00","53.00","109.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
