"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","448.13","193.89","189.17","409.29","236.39","17570556.00","191.67","211.25","154.29","344.17","361.11","600.63","309.25","347.86","8940000.00","193.89","727.86","10800000.00","","166.00","305.83"
"BITR Change","-2.50","0.83","-4.58","-5.00","-3.61","-276666.00","-7.22","-1.88","-27.85","-20.55","-13.89","-0.62","-3.75","-2.14","-430000.00","0.83","0.00","-56250.00","","1.00","1.67"
"MTD","450.08","194.41","208.80","420.05","313.82","16989347.25","246.67","216.06","246.56","388.51","403.40","609.31","319.54","356.20","9943750.00","194.41","733.84","10967466.50","201.08","154.56","286.30"
"MTD Change","-0.23","0.83","-5.78","-2.75","-25.21","239847.25","-17.13","-1.29","-26.12","-11.35","-11.78","-2.79","-2.80","-2.42","-262916.67","0.83","-1.99","-46447.17","","3.65","6.23"
"May-26","450.00","15.59","200.00","400.00","145.55","17.00","225.00","17.80","26.50","360.00","12.67","416.00","300.00","330.00","9.20","15.59","680.00","10.00","206.66","140.00","302.77"
"Jun-26","410.00","15.19","190.00","300.00","145.55","15.50","190.00","17.30","26.10","250.00","12.37","290.00","220.00","265.00","7.60","15.19","525.00","7.25","225.00","130.00","273.00"
"Jul-26","330.00","13.40","165.00","202.00","123.86","13.50","150.00","16.10","23.50","150.00","10.84","275.00","162.00","200.00","6.40","13.40","430.00","6.00","180.00","110.00","242.00"
"Aug-26","246.00","13.40","160.00","177.00","123.86","12.75","135.00","16.10","23.50","140.00","10.84","265.00","160.00","185.00","5.60","13.40","390.00","5.00","147.00","110.00","207.00"
"Sep-26","189.00","","155.00","177.00","","12.00","135.00","","","135.00","","255.00","164.00","170.00","3.20","","350.00","4.00","135.00","110.00","195.00"
"Q3-26","255.00","13.40","160.00","185.33","123.86","12.75","140.00","16.10","23.50","141.67","10.84","265.00","162.00","185.00","5.07","13.40","390.00","5.00","154.00","110.00","214.67"
"Q4-26","205.00","14.50","170.00","198.33","137.37","13.50","143.33","17.60","25.55","145.00","11.61","215.00","177.50","180.00","2.96","14.50","330.00","3.40","131.00","95.00","192.00"
"Q1-27","29.50","82.45","14.00","22.50","48.91","44.44","14.75","17.90","24.79","10.55","13.04","39.00","35.25","35.30","2.88","14.00","26.30","3.35","90.00","70.00","156.00"
"Cal27","21.00","76.80","13.45","20.82","25.47","37.96","14.00","16.65","22.93","9.80","11.45","36.25","34.50","34.55","2.48","13.04","24.55","3.15","80.00","62.50","137.00"
"Cal28","16.50","66.61","12.70","20.25","23.23","27.22","13.55","16.20","20.26","9.55","11.10","32.00","34.25","34.30","2.48","11.31","20.00","3.00","63.00","48.00","102.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
