"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","36.46","71.93","93.57","103.93","103.75","7072222.00","89.44","171.50","122.50","190.28","200.00","145.94","194.69","251.43","2925000.00","71.93","287.86","3818750.00","154.43","221.71"
"BITR Change","-0.21","-0.34","-0.94","1.79","-3.75","-19445.00","-0.56","-0.50","-5.83","-1.39","0.00","0.31","1.25","-0.71","-4167.00","-0.34","-1.78","0.00","3.00","1.71"
"MTD","36.86","72.11","98.01","102.37","109.58","7232738.00","95.02","188.07","133.89","191.14","213.33","145.07","196.62","246.19","2929166.57","72.11","289.64","3807334.14","140.69","212.14"
"MTD Change","-0.07","-0.03","-0.74","0.31","-1.17","-26752.67","-0.93","-2.76","-2.28","-0.14","-2.22","0.15","-0.39","1.05","-694.43","-0.03","-0.30","1902.64","2.29","1.60"
"Sep-23","39.29","73.00","95.50","108.00","106.37","7.00","95.00","182.00","130.00","194.00","210.00","152.85","195.00","240.00","2.88","73.00","270.00","3.75","142.23","215.00"
"Oct-23","47.00","76.50","105.00","125.00","120.00","8.00","110.00","186.00","133.00","160.00","217.00","161.00","217.00","230.00","2.64","76.50","240.00","3.85","123.50","202.00"
"Nov-23","52.75","85.50","115.00","137.00","138.00","8.75","130.00","190.00","141.50","170.00","265.00","170.00","192.50","240.00","2.72","85.50","260.00","3.90","114.00","191.50"
"Dec-23","58.50","94.50","125.00","145.25","153.00","9.35","150.00","197.00","148.50","180.00","287.50","182.00","200.00","250.00","2.80","94.50","280.00","3.95","112.00","188.00"
"Jan-24","56.74","92.72","125.47","143.11","142.61","9.05","147.70","183.14","126.19","136.89","246.77","165.50","174.71","196.08","2.56","92.72","230.68","3.95","105.00","165.00"
"Q4-23","52.75","85.50","115.00","135.75","137.00","8.70","130.00","191.00","141.00","170.00","256.50","171.00","203.17","240.00","2.72","85.50","260.00","3.90","116.50","193.83"
"Q1-24","53.26","84.86","122.95","137.15","138.29","8.45","143.35","174.42","122.05","129.68","242.89","159.99","174.71","193.63","2.56","84.86","226.89","3.85","97.00","155.00"
"Q2-24","11.80","13.70","9.25","21.00","28.70","28.15","15.50","26.10","26.90","8.00","13.70","40.50","42.30","38.50","30.00","13.70","27.70","40.00","73.00","131.00"
"Cal24","12.60","14.85","9.13","21.75","30.05","30.05","15.50","25.30","27.90","8.34","14.55","41.00","42.50","39.00","30.00","14.85","28.20","40.00","78.50","137.00"
"Cal25","12.25","14.10","8.90","21.50","29.00","28.89","14.80","25.00","27.10","7.00","12.45","37.00","42.25","37.25","29.00","14.10","27.10","34.44","67.50","106.00"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
