"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","49.88","66.82","90.71","117.86","90.00","8094444.00","108.61","192.25","87.08","191.67","300.56","162.19","199.69","262.86","2945833.00","66.82","264.29","3865625.00","183.29","","249.71"
"BITR Change","2.05","-6.36","-0.31","1.07","0.00","100000.00","11.11","13.25","3.75","0.56","2.78","-0.62","-5.00","-2.50","4166.00","-6.36","-5.71","-21875.00","7.71","","18.86"
"MTD","38.78","72.68","95.67","107.72","101.92","7348611.00","92.66","183.80","109.28","191.24","242.30","155.36","197.65","253.55","2925555.53","72.68","286.71","3847589.27","152.39","","213.59"
"MTD Change","0.79","-0.42","-0.35","0.78","-0.92","53273.79","1.14","0.60","-1.71","0.03","4.16","0.49","0.16","0.72","1448.39","-0.42","-1.60","1288.27","2.21","","2.58"
"Sep-23","43.25","72.50","95.50","111.50","101.33","7.55","96.00","184.00","105.00","191.00","253.00","156.60","195.00","255.00","2.88","72.50","282.00","3.75","161.71","120.00","228.75"
"Oct-23","60.00","80.00","105.00","122.00","129.50","9.25","117.00","176.00","125.50","185.00","262.50","160.00","217.00","230.00","2.64","80.00","240.00","3.80","185.00","110.00","245.00"
"Nov-23","63.75","96.00","115.00","128.50","151.00","9.80","130.00","190.00","148.50","195.00","292.00","166.00","192.50","240.00","2.72","96.00","255.00","3.90","158.00","100.00","230.00"
"Dec-23","67.50","106.00","125.00","138.00","166.00","10.40","145.00","204.00","158.00","205.00","306.00","181.00","200.00","250.00","2.80","106.00","275.00","3.95","149.00","98.00","220.00"
"Jan-24","15.50","18.50","9.95","24.00","34.90","36.30","17.00","32.25","33.60","11.50","20.70","44.70","42.70","40.00","32.00","18.50","31.45","43.89","140.00","92.00","200.00"
"Q4-23","63.75","94.00","115.00","129.50","148.83","9.82","130.67","190.00","144.00","195.00","286.83","169.00","203.17","240.00","2.72","94.00","256.67","3.88","164.00","102.67","231.67"
"Q1-24","14.65","17.00","9.75","23.00","33.90","34.26","16.50","30.75","32.60","11.00","20.40","43.20","42.70","39.50","32.00","17.00","30.95","42.78","123.00","84.67","190.00"
"Q2-24","13.15","15.20","9.25","21.00","30.55","30.93","15.50","27.50","29.00","10.00","14.80","41.55","42.30","38.50","30.00","15.20","28.70","40.00","123.00","84.67","150.00"
"Cal24","13.50","15.80","9.13","21.75","31.60","31.67","15.50","27.00","30.25","10.00","15.45","41.45","42.50","39.00","30.00","15.80","29.20","40.00","95.75","68.00","155.00"
"Cal25","12.90","14.40","8.90","21.50","30.00","30.00","14.80","25.25","27.50","9.00","12.75","37.30","42.25","37.25","29.00","14.40","27.70","34.44","69.25","58.00","114.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
