"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","49.40","80.39","118.33","142.79","140.00","7224173.00","127.06","95.00","130.71","125.00","130.00","144.06","152.03","201.71","2890000.00","80.39","215.36","3406250.00","79.33","72.50","130.25"
"BITR Change","0.20","0.33","-0.42","-0.85","-3.61","122617.00","1.78","-0.31","-15.00","0.00","0.00","7.81","4.03","-0.43","0.00","0.33","-2.50","-18750.00","0.17","-0.50","0.08"
"MTD","48.22","81.27","120.05","149.63","143.85","7098153.63","128.32","94.03","185.20","120.14","130.25","138.21","148.01","202.98","2895000.00","81.27","200.00","3575781.25","78.28","72.54","129.22"
"MTD Change","0.17","-0.13","-0.25","-0.98","-0.64","18002.77","-0.18","0.14","-9.08","0.69","-0.04","0.84","0.57","-0.18","-714.29","-0.13","2.19","-24218.75","0.15","-0.01","0.15"
"Jul-25","52.50","82.17","116.00","125.00","134.74","7.25","125.00","114.60","150.00","129.75","152.00","144.00","172.50","175.00","2.72","82.17","210.00","3.80","79.43","72.00","129.72"
"Aug-25","55.50","77.00","111.00","127.00","125.74","7.15","121.00","130.00","124.50","129.75","159.50","147.50","159.50","172.00","2.64","77.00","210.00","3.60","72.50","67.00","127.00"
"Sep-25","57.00","76.00","109.00","125.00","124.24","7.65","125.00","115.50","115.00","129.75","157.50","142.00","152.50","178.00","2.56","76.00","207.00","3.40","70.00","67.00","127.00"
"Oct-25","61.50","82.75","120.00","135.00","133.74","8.25","132.50","118.00","112.00","157.00","163.00","131.50","166.00","187.00","2.68","82.75","185.00","3.70","69.50","67.00","124.00"
"Nov-25","63.50","85.25","125.00","140.00","137.24","8.40","137.50","123.00","125.00","157.00","174.00","130.00","170.00","190.00","2.80","85.25","189.00","4.00","71.00","67.00","124.00"
"Q3-25","55.00","78.39","112.00","125.67","128.24","7.35","123.67","120.03","129.83","129.75","156.33","144.50","162.50","175.00","2.64","78.39","209.00","3.60","73.98","68.67","127.91"
"Q4-25","63.50","86.00","125.00","140.00","137.74","8.48","137.50","123.00","124.00","157.00","174.00","130.00","170.00","190.00","2.80","86.00","189.00","4.00","70.00","67.00","124.00"
"Q1-26","12.55","78.03","10.10","21.00","25.97","29.63","14.95","18.83","25.60","10.75","12.20","30.10","35.50","35.50","2.62","13.25","21.50","3.70","59.50","57.00","115.00"
"Cal26","11.60","71.41","10.00","20.70","23.53","27.46","14.20","17.53","22.30","10.00","11.43","28.50","34.75","34.75","2.56","12.13","20.70","3.54","57.75","58.50","111.00"
"Cal27","10.90","65.49","9.80","20.50","22.21","24.44","13.75","16.60","19.50","9.75","11.10","25.00","34.50","34.50","2.48","11.12","19.25","3.30","48.00","58.50","100.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
