"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","63.08","113.50","150.36","201.43","175.56","9050000.00","241.22","204.69","197.14","225.00","285.00","277.19","288.13","313.93","4054167.00","113.50","409.29","7075000.00","82.71","82.20","147.29"
"BITR Change","-2.62","2.28","-3.12","1.79","0.84","-205000.00","-3.50","10.00","40.35","2.83","10.00","-7.19","-1.56","1.36","45834.00","2.28","-2.14","-412500.00","1.14","0.20","0.14"
"MTD","69.43","107.15","146.85","187.52","173.54","9376052.63","198.05","186.11","152.74","234.15","253.57","254.12","274.51","309.28","3484429.79","107.15","389.59","6910432.32","80.77","78.62","142.46"
"MTD Change","-0.33","2.38","2.55","5.54","-5.19","63969.30","22.49","-0.32","0.22","-2.08","-6.51","16.28","4.79","1.40","130263.21","2.38","11.91","389078.15","2.73","1.87","2.73"
"May-24","68.75","107.65","147.00","188.70","172.00","9.34","202.00","187.50","157.00","232.00","256.00","256.10","275.50","308.50","44.00","107.65","391.00","6.92","80.98","78.80","142.71"
"Jun-24","63.00","110.00","140.00","200.00","190.00","8.70","200.00","204.00","185.00","215.00","260.00","225.00","250.00","285.00","38.50","110.00","340.00","6.50","82.50","76.00","145.00"
"Jul-24","59.00","100.00","139.00","180.00","179.50","8.30","165.00","190.50","180.00","190.00","233.50","217.00","225.00","250.00","35.00","100.00","307.00","6.00","83.00","76.00","142.00"
"Aug-24","54.50","91.50","135.00","161.00","168.00","7.65","145.00","183.50","163.00","175.00","202.50","208.50","205.00","201.00","34.00","91.50","281.00","5.40","82.00","76.00","142.00"
"Sep-24","59.00","93.50","140.00","167.50","168.00","8.10","138.00","181.00","164.00","160.00","215.00","201.50","195.00","222.50","33.00","93.50","270.00","5.10","81.00","76.00","142.00"
"Q3-24","57.50","95.00","138.00","169.50","171.83","8.02","149.33","185.00","169.00","175.00","217.00","209.00","208.33","224.50","34.00","95.00","286.00","5.50","82.00","76.00","142.00"
"Q4-24","71.75","110.00","152.50","185.00","191.00","9.90","145.00","190.00","172.00","170.00","261.00","197.00","210.00","230.00","34.50","110.00","285.00","5.40","84.00","77.50","141.00"
"Q1-25","68.77","104.60","148.46","156.44","176.90","9.45","144.72","193.57","141.69","164.96","214.00","182.72","186.93","206.75","32.75","104.60","255.27","5.00","69.50","71.50","125.00"
"Cal25","14.15","96.45","10.80","22.70","34.15","33.15","14.75","27.95","30.00","10.50","15.15","40.60","40.00","37.25","32.00","16.55","28.75","4.50","69.13","71.75","123.75"
"Cal26","13.35","89.74","10.30","22.20","32.20","31.30","14.35","25.95","28.00","10.00","13.80","38.00","39.00","37.00","32.00","15.40","27.45","3.90","69.13","71.75","123.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
