"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","51.33","72.27","120.36","159.64","123.13","8244444.00","104.00","172.75","151.25","170.83","160.06","138.75","156.50","212.50","2391667.00","72.27","255.00","3450000.00","99.00","170.71"
"BITR Change","0.33","-2.73","-9.28","-0.22","-9.06","32777.00","-7.67","-6.25","-2.92","0.00","-4.27","11.25","3.19","0.00","108334.00","-2.73","2.14","250000.00","-3.00","-0.43"
"MTD","52.96","87.80","131.84","166.38","154.45","7882375.68","123.62","145.19","129.98","146.49","174.16","117.17","143.30","192.10","2323464.95","87.80","198.40","2896052.63","108.27","173.71"
"MTD Change","-0.09","-0.86","-0.64","-0.37","-1.84","20114.91","-1.09","1.53","1.25","1.35","-0.78","1.20","0.73","1.13","3789.00","-0.86","3.14","30774.85","-0.51","-0.17"
"Jul-23","52.80","86.30","131.00","165.00","151.60","7.90","122.00","148.00","131.50","149.00","173.25","118.87","144.00","193.00","2.33","86.30","203.50","2.95","107.38","173.45"
"Aug-23","54.50","85.00","131.00","163.00","145.00","8.10","120.00","156.00","130.00","155.00","168.00","157.50","177.00","197.00","2.24","85.00","240.00","3.40","98.00","168.00"
"Sep-23","58.00","91.00","130.00","155.00","150.00","8.60","130.00","153.00","131.00","140.00","180.00","157.50","181.00","190.00","2.16","91.00","230.00","3.50","99.00","157.00"
"Oct-23","60.50","97.00","135.00","155.00","157.00","8.95","140.00","164.00","131.00","135.00","210.00","158.00","185.00","190.00","2.24","97.00","229.00","3.55","95.50","155.00"
"Nov-23","64.00","102.50","145.00","160.00","164.00","9.60","150.00","171.00","133.00","145.00","230.00","163.00","192.50","195.00","2.32","102.50","233.00","3.65","95.50","155.00"
"Q3-23","55.10","87.43","130.67","161.00","148.87","8.20","124.00","152.33","130.83","148.00","173.75","144.62","167.33","193.33","2.24","87.43","224.50","3.28","101.46","166.15"
"Q4-23","64.25","102.00","145.00","160.00","164.00","9.62","151.67","171.00","133.00","145.00","230.00","163.00","192.50","195.00","2.32","102.00","233.00","3.65","95.50","155.00"
"Q1-24","13.55","17.55","10.70","23.00","36.15","31.11","16.50","25.80","28.70","8.00","13.10","38.40","42.70","39.50","28.20","17.55","28.75","40.00","76.50","120.00"
"Cal24","13.15","15.35","10.50","22.00","32.00","30.05","15.50","24.55","28.00","7.31","12.84","37.25","42.50","39.00","28.00","15.35","28.05","37.22","69.13","111.88"
"Cal25","12.40","14.50","10.25","21.50","31.00","28.33","14.80","23.30","26.45","7.00","12.50","36.00","42.25","37.25","27.00","14.50","27.35","33.89","63.00","103.75"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
