"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","49.35","96.94","117.50","124.86","178.33","6867407.00","150.00","103.75","190.00","149.17","184.44","165.63","175.06","185.82","2890000.00","96.94","251.07","4143750.00","86.00","77.63","139.42"
"BITR Change","5.57","16.94","-1.25","-1.43","26.66","320185.00","0.56","-17.19","30.00","-5.83","0.27","9.07","5.47","-4.54","-12000.00","16.94","5.71","212500.00","1.00","1.13","1.75"
"MTD","47.08","90.55","117.92","125.05","178.61","6771543.00","150.39","105.10","175.83","151.02","184.16","160.11","174.16","187.83","2898000.00","90.55","248.21","4052083.33","85.17","77.50","139.56"
"MTD Change","-1.68","8.87","0.69","-13.77","44.71","-357086.43","18.73","-6.16","22.88","12.44","29.03","15.24","15.92","-10.42","-19565.22","8.87","32.83","398931.16","4.49","2.80","5.12"
"Aug-25","57.00","95.00","119.50","126.50","153.06","7.60","121.00","113.50","162.00","129.75","156.00","165.00","156.00","185.00","2.64","95.00","230.00","3.75","83.31","75.00","139.08"
"Sep-25","63.00","92.00","125.00","125.00","146.81","8.40","125.00","119.00","140.00","119.75","152.00","157.50","152.00","180.00","2.56","92.00","215.00","3.25","77.00","71.00","137.00"
"Oct-25","64.00","93.50","128.00","135.00","152.81","8.60","132.50","119.00","130.00","135.00","169.00","145.00","161.00","187.00","2.68","93.50","198.00","3.70","74.00","71.00","135.00"
"Nov-25","66.50","95.00","133.00","140.00","154.81","8.95","137.50","124.00","138.00","150.00","180.00","143.00","165.00","190.00","2.80","95.00","202.00","4.00","74.00","71.00","135.00"
"Dec-25","69.00","96.50","138.00","145.00","156.81","9.35","142.50","129.00","143.00","165.00","191.00","141.00","169.00","195.00","2.92","96.50","206.00","4.30","74.00","71.00","135.00"
"Q4-25","66.50","95.00","133.00","140.00","154.81","8.97","137.50","124.00","137.00","150.00","180.00","143.00","165.00","190.00","2.80","95.00","202.00","4.00","74.00","71.00","135.00"
"Q1-26","60.72","85.39","104.99","140.85","134.74","8.20","132.65","133.55","121.70","146.86","163.32","128.11","164.50","193.57","2.62","85.39","182.51","3.70","62.00","57.00","118.00"
"Q2-26","12.30","79.21","9.55","20.30","25.04","28.33","13.45","18.75","24.10","9.25","11.20","28.70","34.00","34.00","2.50","13.45","20.80","3.60","60.00","57.00","115.00"
"Cal26","12.25","77.00","10.00","20.70","25.04","27.96","14.20","19.13","24.16","10.00","11.43","28.75","34.75","34.75","2.56","13.07","20.70","3.54","59.38","58.50","114.75"
"Cal27","11.30","67.43","9.80","20.50","23.08","25.93","13.75","16.60","20.50","9.75","11.10","25.05","34.50","34.50","2.48","11.45","19.25","3.30","52.00","58.50","108.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
