"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","41.35","79.28","142.50","133.64","158.89","6235000.00","162.11","126.25","182.14","179.44","182.50","111.25","139.69","159.57","3145833.00","79.28","210.71","3043750.00","63.50","61.00","110.33"
"BITR Change","0.40","-1.66","-4.57","0.36","-8.05","-143000.00","6.61","-5.32","-16.43","-0.83","8.05","-0.31","0.66","-0.07","0.00","-1.66","0.00","0.00","0.83","0.25","0.17"
"MTD","41.45","86.93","128.62","136.41","171.47","6845010.38","146.42","131.08","179.62","172.43","188.64","110.47","129.03","159.92","3123958.31","86.93","200.40","3283203.13","56.59","59.41","107.31"
"MTD Change","-0.05","-1.02","1.83","-0.59","-1.42","-82334.84","1.99","-0.67","1.18","1.24","-1.43","0.00","1.52","-0.05","4315.46","-1.02","1.42","-32868.30","0.99","0.23","0.43"
"Dec-24","41.40","87.05","128.50","136.30","163.69","6.84","146.00","131.25","180.25","172.00","188.00","110.50","129.00","160.00","3.08","87.05","201.00","3.40","56.57","60.30","107.25"
"Jan-25","50.14","79.25","132.26","146.76","141.67","7.20","144.72","130.83","140.78","172.29","172.27","119.88","176.83","198.59","2.66","79.25","189.87","3.30","59.00","54.00","105.00"
"Feb-25","53.36","78.09","126.70","143.10","138.10","7.60","140.06","121.06","136.69","164.96","171.60","126.09","174.54","195.87","2.62","78.09","189.87","3.40","55.00","54.00","103.00"
"Mar-25","55.89","76.92","121.14","139.43","133.10","7.95","135.39","119.80","125.79","157.62","170.93","124.84","172.25","193.14","2.58","76.92","196.20","3.50","54.00","54.00","102.00"
"Apr-25","57.96","76.63","120.52","138.43","126.43","8.10","129.79","121.06","123.52","150.29","172.27","118.85","171.10","190.42","2.50","76.63","198.31","3.40","54.00","53.00","106.00"
"Q1-25","53.13","78.09","126.70","143.10","137.62","7.58","140.06","123.90","134.42","164.96","171.60","123.60","174.54","195.87","2.62","78.09","191.98","3.40","56.00","54.00","103.33"
"Q2-25","56.35","72.84","119.28","137.09","124.52","7.88","126.05","121.06","121.25","142.96","170.93","117.82","169.95","187.70","2.50","72.84","198.31","3.30","54.00","53.00","106.00"
"Q3-25","53.36","67.60","115.57","133.42","110.24","7.45","123.72","115.38","111.94","139.30","157.47","109.55","169.50","186.34","2.48","67.60","182.28","3.20","56.50","57.00","106.00"
"Cal25","12.30","74.59","10.10","21.00","26.04","29.41","14.25","19.06","27.27","10.50","12.70","28.10","37.25","35.25","2.56","12.80","22.73","3.30","56.50","57.25","106.08"
"Cal26","11.70","72.26","10.00","20.75","23.40","27.59","14.20","18.50","27.10","10.00","12.30","24.75","36.50","34.75","2.56","12.40","22.60","3.25","59.00","59.75","108.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
