"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","54.35","73.00","115.00","143.93","101.39","7477500.00","108.89","94.56","120.00","126.94","102.91","170.00","139.75","175.71","3099691.00","73.00","185.00","4614490.00","35.67","46.75","87.50"
"BITR Change","-1.50","-3.89","-0.62","0.00","1.39","-25000.00","0.28","-8.75","-3.57","-1.24","-1.11","0.00","-1.00","2.07","0.00","-3.89","-5.00","-15056.00","1.33","0.75","1.00"
"MTD","53.25","78.81","115.72","144.69","112.96","7418026.32","111.62","122.59","137.56","157.81","120.56","153.21","141.56","176.70","2937760.42","78.81","203.58","4302744.32","48.32","54.61","99.09"
"MTD Change","1.07","-0.62","-0.19","-0.08","-3.59","29026.32","-0.41","-5.25","-3.26","-5.70","-3.08","3.89","-0.16","-0.76","45959.22","-0.62","-2.09","80741.32","-3.82","-2.49","-3.67"
"Sep-24","53.50","78.50","116.00","145.00","108.00","7.43","111.50","120.00","136.00","159.00","119.00","154.50","141.50","178.00","2.92","78.50","204.00","4.35","47.25","53.75","98.13"
"Oct-24","57.00","87.00","126.00","158.50","143.00","8.00","125.00","115.00","136.00","160.00","140.00","154.00","175.00","200.00","2.96","87.00","214.00","4.75","51.00","54.00","100.00"
"Nov-24","63.75","102.00","143.00","169.00","165.00","8.90","130.00","143.00","154.50","167.50","186.50","161.00","195.00","215.00","3.04","102.00","231.00","5.00","61.00","59.00","107.00"
"Dec-24","67.00","111.00","154.00","179.50","175.00","9.35","135.00","159.00","174.50","175.00","237.50","168.00","205.00","230.00","3.12","111.00","248.00","5.25","67.00","64.00","120.00"
"Jan-25","62.10","99.36","144.62","156.77","170.48","8.55","145.66","142.50","140.10","172.29","223.42","159.16","184.63","204.03","2.66","99.36","256.12","5.15","60.00","59.00","107.00"
"Q4-24","62.58","100.00","141.00","169.00","161.00","8.75","130.00","139.00","155.00","167.50","188.00","161.00","191.67","215.00","3.04","100.00","231.00","5.00","59.67","59.00","109.00"
"Q1-25","60.03","96.45","139.06","153.10","160.95","8.25","140.99","137.45","132.61","164.96","209.96","153.78","182.34","201.31","2.62","96.45","247.68","4.65","59.00","59.00","107.00"
"Q2-25","56.81","85.37","120.52","143.10","138.10","7.85","126.98","129.26","120.80","142.96","168.91","143.03","175.46","193.14","2.50","85.37","233.33","3.95","58.00","57.00","104.50"
"Cal25","12.90","87.56","10.50","22.20","30.90","30.42","14.35","21.00","27.80","10.50","13.70","35.15","39.00","36.25","2.56","15.03","28.00","4.15","60.50","61.75","110.13"
"Cal26","12.35","85.66","10.10","21.70","30.20","29.26","14.00","22.00","27.80","10.00","13.30","35.00","38.00","36.00","2.56","14.70","27.40","3.85","57.00","60.25","107.50"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
