"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","53.50","104.17","136.25","147.79","190.83","8208333.00","195.83","124.38","92.86","154.44","219.44","138.75","141.44","176.64","3000000.00","104.17","202.86","3756250.00","40.50","48.00","89.50"
"BITR Change","-0.60","-0.55","-1.56","-1.42","0.83","-51667.00","17.44","-8.12","-5.71","2.50","27.22","-0.94","0.00","-0.36","0.00","-0.55","12.86","28125.00","7.00","6.75","14.33"
"MTD","56.31","100.44","135.51","151.78","186.98","8512124.67","174.84","150.00","114.09","153.86","178.61","145.28","147.06","180.89","3015555.56","100.44","202.26","3903819.44","47.55","51.50","94.64"
"MTD Change","-1.70","2.81","1.01","-1.81","5.42","-126975.33","-1.72","-11.25","-11.27","-1.59","8.94","-4.03","-3.78","-2.83","-4444.44","2.81","-6.38","-84930.56","-8.67","-6.15","-11.18"
"Apr-25","56.70","100.00","132.00","147.00","177.50","8.35","160.00","148.00","121.07","175.00","195.00","137.00","150.00","185.00","2.64","100.00","198.12","3.50","44.92","49.40","91.84"
"May-25","59.00","92.00","122.00","137.00","150.17","8.20","145.00","143.00","124.00","160.00","170.00","131.50","160.00","183.00","2.58","92.00","196.00","3.25","46.00","45.00","92.00"
"Jun-25","56.00","81.50","115.00","133.00","130.17","7.80","130.00","136.00","124.00","140.00","155.00","126.50","170.50","181.00","2.52","81.50","185.00","3.15","47.00","46.00","93.00"
"Jul-25","54.75","73.75","106.00","125.00","122.17","7.55","112.00","120.00","113.00","129.75","148.00","116.00","160.00","175.00","2.48","73.75","163.00","3.10","47.00","50.00","95.00"
"Aug-25","48.75","66.75","102.00","121.00","110.17","6.70","108.00","118.00","106.00","129.75","143.00","114.00","157.00","172.00","2.48","66.75","160.00","3.30","48.00","51.00","96.00"
"Q2-25","57.23","91.17","123.00","139.00","152.61","8.12","145.00","142.33","123.02","158.33","173.33","131.67","160.17","183.00","2.58","91.17","193.04","3.30","45.97","46.80","92.28"
"Q3-25","51.25","69.75","106.00","125.00","115.17","7.05","112.00","120.00","108.00","129.75","148.00","114.00","160.00","175.00","2.48","69.75","163.00","3.05","48.00","51.00","96.00"
"Q4-25","56.00","78.00","121.00","140.00","125.17","7.70","130.00","123.00","114.00","157.00","176.00","106.00","175.00","190.00","2.64","78.00","173.00","3.20","52.00","55.00","100.00"
"Cal26","10.60","63.97","10.00","20.70","22.62","25.19","14.20","16.80","19.90","10.00","12.47","23.20","34.75","34.75","2.56","10.86","19.50","3.25","50.00","53.00","101.50"
"Cal27","10.50","61.84","9.80","20.50","21.56","24.63","13.75","16.60","19.50","9.75","12.15","22.85","34.50","34.50","2.48","10.50","19.50","3.10","49.00","53.00","101.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
