"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","53.58","90.45","135.00","159.00","179.69","7830556.00","122.50","146.25","163.33","159.44","163.89","101.25","138.44","215.36","2283333.00","90.45","198.21","2656250.00","109.71","172.86"
"BITR Change","-0.59","-9.78","0.71","-4.43","-4.69","50000.00","0.25","24.25","1.66","13.88","0.56","-3.75","-3.44","3.93","-8334.00","-9.78","0.35","-25000.00","-2.14","-0.29"
"MTD","53.65","91.75","132.14","169.84","158.94","7822916.62","126.99","133.91","121.53","135.60","177.16","118.92","142.32","182.19","2336217.92","91.75","183.52","2842307.69","109.91","174.73"
"MTD Change","0.04","0.65","0.46","-1.57","4.62","-3156.48","-0.84","0.04","8.19","3.07","-2.46","-2.87","-0.39","5.67","-8857.80","0.65","2.64","-31555.94","0.16","-0.31"
"Jul-23","53.00","92.50","132.50","167.00","159.00","7.75","127.00","140.04","131.00","143.00","172.00","115.52","147.00","190.00","2.32","92.50","191.00","2.90","109.95","174.07"
"Aug-23","52.50","87.75","131.00","163.00","153.00","7.55","128.00","145.00","120.00","137.50","165.00","130.00","177.00","195.00","2.24","87.75","212.00","3.15","107.00","165.00"
"Sep-23","54.75","92.00","130.00","155.00","154.50","7.90","130.00","148.50","124.00","130.00","172.50","139.00","180.00","190.00","2.16","92.00","215.00","3.35","98.00","149.00"
"Oct-23","56.50","95.00","135.00","155.00","161.00","8.35","140.00","153.00","124.00","130.00","185.00","145.75","185.00","190.00","2.24","95.00","218.00","3.50","93.50","148.00"
"Nov-23","60.50","99.00","145.00","160.00","164.50","9.10","150.00","161.50","125.00","135.00","205.00","149.00","192.50","195.00","2.32","99.00","220.00","3.60","92.50","148.00"
"Q3-23","53.42","90.75","131.17","161.67","155.50","7.73","128.33","144.51","125.00","136.83","169.83","128.17","168.00","191.67","2.24","90.75","206.00","3.13","104.98","162.69"
"Q4-23","60.75","99.00","145.00","160.00","164.83","9.12","151.67","161.00","125.00","135.00","205.00","149.25","192.50","195.00","2.32","99.00","220.00","3.60","93.00","148.00"
"Q1-24","13.45","17.25","10.70","23.00","36.50","31.11","16.50","25.30","28.00","8.00","13.10","36.95","42.70","39.50","28.20","17.25","28.50","38.89","75.50","120.00"
"Cal24","12.90","14.90","10.50","22.00","32.35","29.86","15.50","23.75","27.00","7.31","12.84","36.45","42.50","39.00","28.00","14.90","27.80","36.11","68.88","111.88"
"Cal25","12.30","14.35","10.25","21.50","31.00","28.33","14.80","23.15","25.85","7.00","12.50","35.85","42.25","37.25","27.00","14.35","27.20","33.33","63.50","103.75"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
