"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","728.33","256.39","208.75","392.92","235.56","29583333.00","269.00","100.00","242.14","174.44","178.33","810.00","271.25","390.71","6235000.00","256.39","628.57","11609375.00","225.00","152.20","279.00"
"BITR Change","28.89","0.83","2.08","5.42","","-41667.00","22.33","0.00","","-0.28","4.44","68.12","14.06","7.85","-10000.00","0.83","7.14","1234375.00","","-1.80","-2.83"
"MTD","682.68","225.60","206.94","373.88","229.83","27914351.83","238.26","99.90","242.43","177.73","169.63","673.86","262.24","352.86","6176600.00","225.60","578.10","9997395.83","223.08","152.91","278.69"
"MTD Change","9.13","0.83","0.36","3.81","1.43","333796.23","6.15","0.02","-0.07","-0.66","1.74","27.23","1.80","7.57","11680.00","0.83","10.10","322395.83","0.96","-0.14","0.06"
"Sep-26","720.00","","225.00","365.00","","30.00","235.00","","","175.00","","580.00","255.00","350.00","5.68","","700.00","9.50","224.36","145.00","285.87"
"Oct-26","720.00","","255.00","310.00","","29.25","205.00","","","150.00","","575.00","220.00","300.00","4.80","","680.00","7.50","225.00","120.00","284.00"
"Nov-26","695.00","","240.00","290.00","","27.00","185.00","","","155.00","","580.00","210.00","265.00","4.20","","665.00","7.00","215.00","120.00","268.00"
"Dec-26","640.00","","217.50","250.00","","26.25","160.00","","","160.00","","570.00","200.00","215.00","3.60","","650.00","6.50","205.00","120.00","243.00"
"Jan-27","522.02","","182.63","167.98","","24.50","130.81","","","141.61","","415.93","180.08","196.65","2.88","","296.93","5.00","155.00","75.00","228.00"
"Q4-26","685.00","14.50","237.50","283.33","137.37","27.50","183.33","17.60","25.55","155.00","11.61","575.00","210.00","260.00","4.20","14.50","665.00","7.00","215.00","120.00","265.00"
"Q1-27","504.70","82.45","177.69","160.83","238.23","23.25","122.51","116.61","114.70","141.61","174.61","407.05","175.11","193.75","2.88","82.45","296.93","5.00","138.33","75.00","212.00"
"Q2-27","78.00","78.68","15.20","20.50","27.61","76.85","13.25","17.40","23.83","9.05","12.32","73.00","33.75","33.00","2.40","13.36","31.50","4.00","110.33","68.00","172.00"
"Cal27","71.00","76.80","15.72","20.82","25.47","70.37","14.00","16.65","22.93","9.80","11.45","68.00","34.50","33.90","2.48","13.04","30.85","3.88","110.17","69.75","162.50"
"Cal28","28.00","66.61","13.35","20.25","23.23","51.85","13.55","16.20","20.26","9.55","11.10","51.00","34.25","34.30","2.48","11.31","24.25","3.00","75.00","48.00","130.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
