"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","44.50","75.00","103.57","127.14","118.75","8316667.00","108.67","200.20","155.83","185.00","240.56","154.00","191.38","202.07","2904167.00","75.00","281.43","3837500.00","94.00","167.93"
"BITR Change","-0.67","-0.45","-1.87","-2.50","0.00","-11111.00","-0.27","0.95","2.50","0.00","6.12","-3.44","-0.18","-2.14","12500.00","-0.45","1.43","43750.00","-0.71","0.50"
"MTD","47.17","67.65","98.82","142.05","118.01","8260784.24","99.04","177.67","147.84","183.20","169.12","156.07","168.53","212.32","2872304.06","67.65","246.19","3737184.88","98.50","167.03"
"MTD Change","-0.17","0.46","0.30","-0.99","0.05","3492.67","0.60","1.41","0.50","0.11","4.46","-0.13","1.52","-0.68","1991.43","0.46","2.20","6269.69","-0.28","0.06"
"Aug-23","46.75","69.90","99.00","138.50","119.60","8.25","101.00","182.00","148.75","182.50","183.00","155.75","175.00","211.00","2.88","69.90","250.00","3.75","96.57","167.14"
"Sep-23","50.75","85.50","117.00","132.50","143.00","8.65","115.00","198.00","139.00","165.00","250.00","160.00","175.00","225.00","2.56","85.50","240.00","3.80","98.50","173.00"
"Oct-23","57.75","97.00","132.50","151.00","160.00","9.40","130.00","193.00","142.00","140.00","252.00","161.00","185.00","242.00","2.40","97.00","248.00","3.70","98.00","176.00"
"Nov-23","61.75","100.00","139.00","159.00","167.00","9.70","145.00","194.00","145.50","150.00","261.00","165.00","192.50","250.00","2.48","100.00","257.00","3.75","98.00","174.00"
"Dec-23","65.00","103.00","150.50","164.00","171.00","10.10","160.00","195.00","147.50","160.00","297.00","169.00","200.00","252.00","2.56","103.00","269.00","3.80","98.00","172.00"
"Q4-23","61.50","100.00","140.67","158.00","166.00","9.73","145.00","194.00","145.00","150.00","270.00","165.00","192.50","248.00","2.48","100.00","258.00","3.75","98.00","174.00"
"Q1-24","56.12","90.62","134.93","137.15","155.14","8.85","143.35","171.51","122.88","115.27","169.90","158.15","174.71","193.63","2.42","90.62","214.77","3.55","86.00","134.00"
"Q2-24","12.20","14.20","10.30","21.50","30.65","29.26","15.50","26.30","27.80","7.00","12.75","38.50","42.30","38.50","29.80","14.20","27.50","36.67","70.00","125.00"
"Cal24","12.90","15.43","10.50","22.00","32.25","30.79","15.50","26.30","28.77","7.31","12.85","40.20","42.50","39.00","30.00","15.43","27.75","36.67","73.00","126.00"
"Cal25","12.25","14.30","10.25","21.50","30.70","28.89","14.80","25.00","27.75","7.00","12.50","36.40","42.25","37.25","29.00","14.30","27.35","34.44","65.75","106.00"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
