"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","479.44","223.33","200.00","330.42","336.67","18523444.00","204.17","109.06","162.14","185.56","183.33","535.00","220.19","256.00","5350000.00","223.33","487.14","8756250.00","","167.00","285.00"
"BITR Change","-2.23","28.05","-3.33","2.50","13.06","-98778.00","-3.89","-2.19","11.43","-18.88","-5.00","-3.75","1.13","1.36","-110000.00","28.05","-5.00","-12500.00","","-1.75","-2.17"
"MTD","463.19","188.54","209.38","329.67","336.56","18848416.63","229.86","126.64","203.39","222.50","211.74","540.17","215.93","260.26","5518000.00","188.54","499.38","8794587.00","212.58","164.50","269.08"
"MTD Change","2.32","28.05","-1.34","0.12","0.02","-46424.66","-3.67","-2.51","-5.89","-5.28","-4.06","-0.74","0.71","-0.71","-24000.00","28.05","-1.75","-5476.71","0.00","0.36","2.27"
"Aug-26","470.00","13.40","210.00","415.00","123.86","20.00","240.00","16.10","23.50","195.00","10.84","340.00","180.00","250.00","5.20","13.40","490.00","7.50","217.22","161.00","277.00"
"Sep-26","455.00","","200.00","350.00","","19.50","200.00","","","150.00","","373.00","164.00","230.00","4.80","","420.00","5.00","197.00","140.00","253.00"
"Oct-26","425.00","","195.00","280.00","","19.50","165.00","","","140.00","","370.00","173.50","210.00","4.40","","390.00","3.50","176.00","110.00","217.00"
"Nov-26","390.00","","185.00","260.00","","19.00","153.00","","","145.00","","360.00","177.50","200.00","4.00","","370.00","3.30","167.00","110.00","205.00"
"Dec-26","340.00","","175.00","240.00","","18.50","150.00","","","150.00","","350.00","181.50","190.00","3.60","","360.00","3.40","155.00","110.00","199.00"
"Q4-26","385.00","14.50","185.00","260.00","137.37","19.00","156.00","17.60","25.55","145.00","11.61","360.00","177.50","200.00","4.00","14.50","373.33","3.40","166.00","110.00","207.00"
"Q1-27","246.41","82.45","147.09","160.83","238.23","16.00","122.51","116.61","114.70","141.61","174.61","292.81","175.11","193.75","2.88","82.45","275.27","3.35","111.00","70.00","173.00"
"Q2-27","40.00","78.68","13.70","20.50","27.61","51.85","13.25","17.40","23.83","9.05","12.32","53.00","33.75","33.00","2.40","13.36","28.50","3.15","99.00","66.00","145.00"
"Cal27","35.50","76.80","14.00","20.82","25.47","51.85","14.00","16.65","22.93","9.80","11.45","53.75","34.50","33.90","2.48","13.04","28.00","3.15","95.50","67.00","145.00"
"Cal28","19.00","66.61","12.70","20.25","23.23","37.04","13.55","16.20","20.26","9.55","11.10","44.00","34.25","34.30","2.48","11.31","22.50","3.00","70.00","48.00","117.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
