"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","66.88","98.64","145.00","185.00","179.69","9705556.00","145.83","195.75","256.43","203.33","264.44","118.75","130.31","185.00","3400000.00","98.64","197.86","3206250.00","147.57","119.80","217.86"
"BITR Change","0.59","0.46","-1.25","0.00","2.81","5556.00","-2.59","-15.50","-2.86","13.05","1.38","0.31","-0.32","2.86","-8333.00","0.46","13.57","18750.00","-0.71","-3.60","-3.29"
"MTD","66.58","98.41","145.00","185.00","178.28","9702778.00","147.13","203.50","257.86","196.81","263.75","118.59","130.47","183.57","3404166.50","98.41","191.07","3196875.00","147.93","121.60","219.50"
"MTD Change","0.29","0.23","0.00","0.00","1.41","2778.00","-1.29","-7.75","-1.43","6.53","0.69","0.15","-0.16","1.43","-4166.50","0.23","6.79","9375.00","-0.36","-1.80","-1.64"
"Dec-23","68.70","106.00","152.50","174.00","183.00","9.80","160.00","220.00","212.00","175.00","290.00","141.45","190.00","200.00","3.20","106.00","222.00","3.70","125.00","118.00","210.00"
"Jan-24","14.10","96.91","12.82","27.30","42.60","31.85","17.50","36.50","41.50","11.00","20.65","43.60","42.70","40.00","2.88","18.50","32.80","3.75","115.00","115.00","200.00"
"Feb-24","13.05","86.96","11.60","26.05","37.20","30.00","17.00","32.95","34.00","10.50","18.65","42.90","42.70","39.50","2.72","16.60","32.05","3.65","107.00","112.00","190.00"
"Mar-24","12.20","83.81","11.00","25.00","34.05","28.52","16.50","30.60","32.95","10.00","16.95","42.50","42.70","39.00","2.56","16.00","31.45","3.55","93.00","108.00","175.00"
"Apr-24","12.50","82.24","10.85","23.00","33.90","29.26","16.25","29.30","31.15","10.00","15.90","41.05","42.30","38.75","2.44","15.70","29.65","3.30","83.00","100.00","165.00"
"Q1-24","13.12","89.23","11.81","26.12","37.95","30.12","17.00","33.35","36.15","10.50","18.75","43.00","42.70","39.50","2.72","17.03","32.10","3.65","105.00","111.67","188.33"
"Q2-24","12.50","81.19","10.65","22.50","33.40","29.26","16.00","28.30","30.15","10.00","14.90","40.80","42.30","38.50","2.40","15.50","29.45","3.30","79.00","96.00","165.00"
"Q3-24","12.15","74.12","10.25","22.00","30.25","28.52","15.00","24.70","26.00","9.00","12.90","40.00","42.20","38.50","2.24","14.15","28.70","3.05","79.00","96.00","155.00"
"Cal24","13.00","83.53","11.11","23.65","33.90","30.31","16.00","27.94","30.45","9.88","15.20","41.20","42.50","39.00","2.44","15.95","30.00","3.34","86.50","95.92","167.08"
"Cal25","12.90","75.69","10.50","22.50","31.00","29.63","15.20","26.20","28.00","9.00","12.45","36.90","42.25","37.25","2.32","14.45","27.60","3.10","78.00","70.00","137.91"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
