"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","442.78","226.11","247.92","455.71","451.11","15805556.00","301.28","248.44","450.00","475.00","496.67","656.88","322.19","379.29","11010000.00","226.11","734.29","10918750.00","182.25","133.00","243.50"
"BITR Change","-13.00","3.33","14.17","-12.86","45.83","-188888.00","1.11","-4.96","35.71","-15.56","-68.05","0.63","9.06","-1.42","-15000.00","3.33","0.72","31250.00","","6.25","11.83"
"MTD","444.37","251.48","321.06","489.74","470.73","18014783.94","393.61","281.41","496.83","490.51","528.39","597.52","306.01","356.99","11341944.44","251.48","711.55","10025520.83","150.03","113.56","208.53"
"MTD Change","-0.09","3.33","-4.30","-1.89","-1.15","-129954.58","-5.43","-1.94","-2.75","-0.91","-1.87","3.49","0.90","1.24","-19526.14","3.33","1.34","52542.89","","1.14","2.06"
"Apr-26","444.00","15.99","313.75","486.00","145.55","17.80","384.25","18.30","26.90","489.00","12.97","603.25","307.50","359.00","11.28","15.99","713.50","10.10","150.03","115.50","211.76"
"May-26","405.00","15.59","260.00","380.00","145.55","15.25","320.00","17.80","26.50","320.00","12.67","430.00","225.00","245.00","8.40","15.59","610.00","7.50","182.50","115.00","245.00"
"Jun-26","330.00","15.19","210.00","280.00","145.55","13.65","190.00","17.30","26.10","210.00","12.37","420.00","180.00","215.50","6.00","15.19","380.00","6.25","167.00","100.00","235.00"
"Jul-26","235.50","13.40","170.00","202.00","123.86","13.20","150.00","16.10","23.50","150.00","10.84","370.00","162.00","180.00","4.80","13.40","350.00","5.00","146.00","95.00","190.00"
"Aug-26","170.00","13.40","165.00","177.00","123.86","12.50","135.00","16.10","23.50","140.00","10.84","340.00","160.00","160.00","4.00","13.40","335.00","4.00","124.00","95.00","185.00"
"Q2-26","393.00","15.59","261.25","382.00","145.55","15.57","298.08","17.80","26.50","339.67","12.67","484.42","237.50","273.17","8.56","15.59","567.83","7.95","166.51","110.17","230.59"
"Q3-26","187.83","13.40","165.00","185.33","123.86","12.55","140.00","16.10","23.50","141.67","10.84","340.00","162.00","170.00","4.00","13.40","335.00","4.03","130.00","95.00","186.00"
"Q4-26","34.56","14.50","17.22","27.75","28.20","50.00","17.26","2.70","5.52","10.80","0.87","58.60","35.73","31.12","2.96","2.46","34.90","3.30","120.00","85.00","182.00"
"Cal27","19.00","76.80","13.45","20.82","25.47","32.59","14.00","16.65","22.93","9.80","11.45","34.25","34.50","34.55","2.48","13.04","24.55","3.15","77.00","60.75","128.75"
"Cal28","15.60","66.61","12.70","20.25","23.23","27.22","13.55","16.20","20.26","9.55","11.10","27.70","34.25","34.30","2.48","11.31","20.00","3.00","58.00","48.00","98.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
