"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","605.56","305.28","205.42","347.92","309.44","24355556.00","262.50","104.06","231.43","173.89","164.17","575.63","213.56","273.21","5870000.00","305.28","509.29","9437500.00","","159.00","273.83"
"BITR Change","18.68","-18.61","2.50","12.50","-9.45","-1255555.00","5.50","-0.94","-0.71","0.28","-0.27","1.88","1.06","6.78","172000.00","-18.61","1.43","-87500.00","","1.25","1.33"
"MTD","499.47","245.46","206.02","330.25","339.95","20235840.25","234.35","116.25","213.48","200.52","190.21","541.49","214.92","259.98","5512312.50","245.46","498.48","9006668.50","","161.80","270.98"
"MTD Change","7.07","-18.61","-0.04","1.26","-2.03","274647.72","1.88","-0.81","1.20","-1.78","-1.74","2.28","-0.10","0.95","23845.83","-18.61","0.72","28722.10","","-0.19","0.19"
"Aug-26","522.50","13.40","205.00","400.00","123.86","21.20","230.00","16.10","23.50","195.00","10.84","343.00","210.00","250.00","5.40","13.40","515.00","9.00","216.70","161.00","271.94"
"Sep-26","675.00","","200.00","350.00","","25.00","200.00","","","150.00","","505.00","185.00","230.00","4.80","","615.00","5.00","220.00","140.00","280.00"
"Oct-26","630.00","","195.00","280.00","","24.00","165.00","","","140.00","","500.00","173.50","210.00","4.40","","605.00","3.50","215.00","110.00","275.00"
"Nov-26","570.00","","185.00","260.00","","22.50","153.00","","","145.00","","495.00","177.50","200.00","4.00","","595.00","3.30","190.00","110.00","250.00"
"Dec-26","550.00","","175.00","240.00","","22.50","150.00","","","150.00","","490.00","181.50","190.00","3.60","","585.00","3.40","175.00","110.00","235.00"
"Q4-26","583.33","14.50","185.00","260.00","137.37","23.00","156.00","17.60","25.55","145.00","11.61","495.00","177.50","200.00","4.00","14.50","595.00","3.40","193.33","110.00","253.33"
"Q1-27","470.06","82.45","156.96","160.83","238.23","22.00","122.51","116.61","114.70","141.61","174.61","382.65","175.11","193.75","2.88","82.45","288.81","3.35","141.67","70.00","205.00"
"Q2-27","82.00","78.68","14.70","20.50","27.61","74.07","13.25","17.40","23.83","9.05","12.32","68.25","33.75","33.00","2.40","13.36","30.50","3.15","103.00","66.00","160.00"
"Cal27","69.50","76.80","15.00","20.82","25.47","67.59","14.00","16.65","22.93","9.80","11.45","69.50","34.50","33.90","2.48","13.04","29.88","3.15","104.42","67.00","156.50"
"Cal28","26.00","66.61","13.00","20.25","23.23","48.15","13.55","16.20","20.26","9.55","11.10","49.00","34.25","34.30","2.48","11.31","23.50","3.00","70.00","48.00","115.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
