"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","67.60","94.17","107.92","143.00","132.78","6460000.00","128.72","173.13","114.29","205.00","200.28","120.63","125.70","170.71","3158333.00","94.17","190.00","3250000.00","48.00","48.25","91.50"
"BITR Change","-3.15","4.17","-0.32","0.00","-0.28","145000.00","6.89","-11.25","-2.50","5.00","9.95","1.57","0.07","1.78","-25000.00","4.17","1.43","31250.00","-0.50","-0.25","-1.08"
"MTD","68.00","90.50","108.13","143.52","131.04","6808245.06","122.03","191.10","115.89","202.92","187.10","120.23","126.10","168.88","3197916.50","90.50","186.97","3282812.50","48.79","49.09","93.04"
"MTD Change","","","","","","0.00","","","","","","","","","","","","","","",""
"Feb-25","67.15","95.00","112.00","144.00","134.75","9.30","125.00","158.00","128.00","170.00","180.00","123.00","135.00","175.00","2.62","95.00","200.00","3.50","45.76","53.00","91.41"
"Mar-25","68.50","94.00","111.00","137.00","140.75","9.30","128.00","137.00","125.00","147.00","165.00","133.00","140.00","185.00","2.58","94.00","200.00","3.40","49.50","53.00","99.00"
"Apr-25","67.50","91.00","110.00","134.00","136.75","9.20","123.25","134.00","130.00","140.00","175.00","131.00","150.00","185.00","2.50","91.00","190.00","3.30","51.00","53.00","100.00"
"May-25","66.00","87.00","107.25","132.00","135.25","9.00","118.00","131.00","127.50","130.50","172.00","129.00","160.00","183.00","2.50","87.00","187.50","3.20","51.00","53.00","101.50"
"Jun-25","64.50","83.00","106.00","130.00","134.00","8.80","118.00","128.00","125.00","129.50","169.00","127.00","170.50","181.00","2.50","83.00","185.00","3.10","51.00","53.00","103.00"
"Q2-25","66.00","87.00","107.75","132.00","135.33","9.00","119.75","131.00","127.50","133.33","172.00","129.00","160.17","183.00","2.50","87.00","187.50","3.20","51.00","53.00","101.50"
"Q3-25","55.50","73.00","106.00","125.00","118.75","7.45","117.50","120.00","119.00","129.75","153.00","120.00","171.25","175.00","2.48","73.00","180.00","3.00","55.50","57.00","106.50"
"Q4-25","65.00","82.50","126.00","144.00","128.25","8.90","135.25","123.00","122.00","157.00","179.00","113.50","180.50","190.00","2.64","82.50","184.00","3.20","59.50","63.00","109.00"
"Cal26","12.20","72.73","10.00","20.75","23.70","29.12","14.20","18.34","27.10","10.00","12.47","25.50","34.75","34.75","2.56","12.35","22.68","3.25","56.50","59.75","108.75"
"Cal27","11.80","70.38","9.80","20.50","23.27","28.15","13.75","18.15","26.80","9.75","12.15","24.75","36.00","34.50","2.48","11.95","22.20","3.10","56.50","59.75","108.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
