"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","124.11","137.50","156.67","184.64","209.44","13308333.00","204.44","116.25","167.86","170.56","243.33","170.63","187.81","231.07","4250000.00","137.50","252.50","3918750.00","80.08","73.00","133.50"
"BITR Change","-0.78","4.72","-0.21","-1.65","6.66","-108889.00","-1.50","-15.94","1.43","-5.27","14.44","-5.62","0.62","-2.50","0.00","4.72","11.43","-87500.00","-0.25","0.00","-0.17"
"MTD","124.90","131.86","157.40","200.16","202.39","13684541.15","193.61","142.29","171.24","194.59","195.41","178.66","174.29","237.96","4050961.54","131.86","229.09","4075000.00","75.23","69.36","126.18"
"MTD Change","-0.07","0.47","-0.06","-1.29","0.59","-31350.68","0.90","-2.17","-0.28","-2.00","3.99","-0.67","1.13","-0.57","16586.54","0.47","1.95","-13020.83","0.40","0.30","0.61"
"Dec-25","123.00","134.95","156.50","196.00","201.90","13.57","196.00","135.00","171.01","200.00","206.94","175.00","175.00","235.00","4.00","134.95","236.23","4.00","76.28","70.00","127.80"
"Jan-26","93.61","129.39","137.21","177.06","179.39","12.70","135.31","123.78","139.98","150.96","193.98","155.47","165.89","195.20","3.36","129.39","227.08","3.80","67.50","62.00","124.00"
"Feb-26","84.18","115.43","132.02","170.36","177.93","11.00","132.65","128.99","134.20","146.86","195.85","149.88","164.50","193.57","3.20","115.43","212.22","3.50","60.00","61.50","118.00"
"Mar-26","77.51","104.71","127.86","156.94","176.47","10.00","129.99","127.69","129.57","142.76","192.10","145.52","163.11","191.93","3.04","104.71","203.74","3.20","60.00","61.50","117.00"
"Apr-26","73.37","96.88","122.66","148.89","145.65","9.55","122.01","123.78","124.48","126.37","173.63","139.93","159.87","188.11","2.80","96.88","197.37","3.30","59.00","59.00","115.00"
"Q1-26","85.10","116.51","131.29","168.12","177.93","11.23","132.65","126.82","134.58","146.86","193.98","150.29","164.50","193.57","3.20","116.51","214.35","3.50","62.50","61.67","119.67"
"Q2-26","71.76","94.52","118.50","147.55","145.65","9.35","119.34","120.52","122.63","126.37","169.61","137.85","157.55","185.39","2.72","94.52","193.12","3.30","59.00","59.00","115.00"
"Q3-26","12.40","79.74","10.40","21.00","25.71","27.04","13.20","16.42","25.25","9.00","10.84","29.30","33.75","33.75","2.56","13.54","21.50","3.10","56.50","58.00","114.00"
"Cal26","15.20","94.44","11.58","22.77","30.15","33.69","14.20","18.08","27.01","10.00","12.40","31.60","34.75","34.75","2.80","16.04","23.00","3.30","59.00","59.42","115.67"
"Cal27","12.05","76.50","11.00","20.50","25.56","27.04","13.75","16.75","22.93","9.75","11.45","27.70","34.50","34.50","2.48","12.99","19.90","3.15","51.00","53.00","104.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
