"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","123.42","132.50","158.33","208.21","201.94","13773889.00","184.44","150.63","180.00","204.44","180.56","180.63","167.19","241.86","3962500.00","132.50","219.64","4043750.00","73.83","67.38","122.83"
"BITR Change","-1.25","-2.50","-1.67","-1.36","0.00","-26111.00","-1.00","-3.75","5.00","-6.95","-11.66","3.44","-2.81","-3.14","12500.00","-2.50","0.00","-31250.00","-0.17","-0.13","0.67"
"MTD","124.65","138.47","159.58","210.52","203.05","13766027.75","186.18","157.50","175.00","218.33","198.82","179.69","176.18","239.50","3956250.00","138.47","224.64","4121875.00","73.08","67.88","123.13"
"MTD Change","-0.41","-1.99","-0.42","-0.77","-0.37","2620.42","-0.58","-2.29","1.67","-4.63","-6.09","0.31","-3.00","0.79","2083.33","-1.99","-1.67","-26041.67","0.25","-0.17","-0.10"
"Dec-25","113.25","128.77","155.00","200.00","207.83","13.30","170.00","151.00","198.00","200.00","214.00","179.50","175.00","200.00","3.60","128.77","240.50","4.00","69.50","70.00","122.00"
"Jan-26","89.70","117.08","137.21","177.06","168.94","11.40","135.31","139.74","152.61","150.96","189.42","167.91","165.89","195.20","2.90","117.08","232.60","3.80","62.00","62.00","118.50"
"Feb-26","73.83","104.18","132.02","170.36","167.48","9.50","132.65","137.13","145.21","146.86","211.51","163.76","164.50","193.57","2.88","104.18","224.11","3.50","61.50","61.50","117.00"
"Mar-26","69.00","96.94","127.86","156.94","166.02","9.00","129.99","134.53","141.97","142.76","205.49","155.27","163.11","191.93","2.86","96.94","215.62","3.20","61.50","61.50","117.00"
"Apr-26","69.00","92.58","122.66","148.89","146.58","8.60","122.01","128.99","136.74","126.37","190.09","144.90","159.87","188.11","2.58","92.58","207.98","3.30","60.00","59.00","117.00"
"Q1-26","77.51","106.07","131.29","168.12","167.48","9.97","132.65","137.13","146.60","146.86","202.14","162.31","164.50","193.57","2.88","106.07","224.11","3.50","61.67","61.67","117.50"
"Q2-26","68.31","90.22","118.50","147.55","146.58","8.40","119.34","125.73","132.11","126.37","186.08","142.83","157.55","185.39","2.56","90.22","203.74","3.30","59.00","59.00","117.00"
"Q3-26","12.25","78.68","10.40","21.00","25.99","25.93","13.20","15.30","25.92","9.00","11.80","29.55","33.75","33.75","2.48","13.36","22.30","3.10","58.00","58.00","118.00"
"Cal26","14.53","90.56","11.58","22.77","29.76","31.08","14.20","18.19","28.68","10.00","13.35","32.50","34.75","34.75","2.64","15.38","23.88","3.30","59.37","59.42","117.75"
"Cal27","12.00","75.74","11.00","20.50","25.52","27.41","13.75","16.75","22.50","9.75","11.45","27.60","34.50","34.50","2.48","12.86","19.90","3.15","52.00","53.00","106.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
