"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","72.33","164.09","201.43","188.57","274.06","10350000.00","240.94","165.00","115.36","171.11","195.00","158.13","173.75","192.00","3391667.00","164.09","220.71","4303125.00","135.00","115.40","206.14"
"BITR Change","6.12","0.45","1.87","1.07","2.18","-116667.00","16.08","-1.25","0.72","-1.39","0.00","-6.87","-0.63","-5.36","-12500.00","0.45","-7.86","-84375.00","0.86","2.60","3.43"
"MTD","52.87","110.30","148.37","169.35","185.74","8991944.59","173.90","163.59","117.61","185.16","192.93","165.44","189.98","234.19","3351477.18","110.30","245.42","4201250.00","119.13","112.84","203.23"
"MTD Change","0.93","2.56","2.53","0.92","4.21","64669.31","3.19","0.07","-0.11","-0.67","0.10","-0.35","-0.77","-2.01","1913.80","2.56","-1.18","4851.19","0.76","0.12","0.14"
"Oct-23","52.60","110.30","148.75","169.25","188.00","9.00","173.00","163.75","117.47","185.00","193.00","165.80","190.00","234.50","3.35","110.30","245.70","4.20","119.10","112.70","203.00"
"Nov-23","71.00","128.00","190.00","190.00","232.00","11.00","180.00","188.00","146.00","185.00","242.50","165.00","193.00","240.00","2.96","128.00","227.00","4.25","155.00","103.00","240.00"
"Dec-23","69.75","114.00","180.00","188.00","208.00","11.00","175.00","215.00","162.00","195.00","289.00","179.00","200.00","250.00","2.88","114.00","265.00","4.40","156.00","98.00","240.00"
"Jan-24","15.10","97.96","12.50","26.00","39.95","35.56","17.50","33.10","33.20","11.50","21.00","46.70","42.70","40.00","2.64","18.70","33.00","4.30","139.00","94.00","225.00"
"Feb-24","14.40","90.62","12.00","25.00","36.55","33.70","17.00","31.50","32.25","11.00","18.30","45.85","42.70","39.50","2.56","17.30","32.00","4.20","124.00","85.00","205.00"
"Q4-23","64.45","117.43","172.92","182.42","209.33","10.33","176.00","188.92","141.82","188.33","241.50","169.93","194.33","241.50","3.06","117.43","245.90","4.28","143.37","104.57","227.67"
"Q1-24","14.50","91.67","12.00","25.00","36.95","33.89","17.00","31.40","32.25","11.00","18.85","45.90","42.70","39.50","2.56","17.50","32.00","4.20","125.00","86.67","205.00"
"Q2-24","13.30","83.29","11.15","21.50","33.05","31.11","16.00","28.80","29.15","10.00","14.75","42.00","42.30","38.50","2.40","15.90","29.40","3.70","125.00","86.67","170.00"
"Cal24","13.80","85.91","11.00","22.63","33.75","32.41","16.00","27.85","29.30","10.00","15.11","42.85","42.50","39.00","2.40","16.40","30.00","3.77","97.00","72.17","175.25"
"Cal25","13.10","77.79","10.00","21.75","30.85","30.74","15.20","25.30","27.50","9.00","12.45","37.75","42.25","37.25","2.32","14.85","28.25","3.25","75.00","59.00","127.90"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
