"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","43.63","66.00","120.83","135.21","118.17","5992500.00","127.50","104.69","117.14","140.00","158.06","122.94","137.06","160.17","3236806.00","66.00","195.14","3412500.00","60.67","60.00","107.92"
"BITR Change","0.10","-0.97","-0.31","-0.29","0.56","-110000.00","-13.61","-3.44","-16.43","-3.33","-5.00","2.19","0.01","0.00","15973.00","-0.97","-0.72","81250.00","-0.50","-0.63","-1.58"
"MTD","41.46","86.48","129.46","136.17","170.61","6808245.06","147.27","130.61","179.31","172.75","188.32","110.48","129.66","159.90","3125245.06","86.48","201.01","3267279.41","57.00","59.50","107.49"
"MTD Change","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Jan-25","45.50","66.00","123.00","136.00","130.25","6.50","132.50","129.75","122.75","160.50","177.00","132.00","178.75","199.00","2.66","66.00","184.50","3.50","54.11","59.50","105.55"
"Feb-25","49.00","72.50","120.00","140.00","139.75","7.00","133.00","123.00","116.75","153.75","169.00","138.75","176.25","196.25","2.62","72.50","197.50","3.55","53.00","54.00","107.00"
"Mar-25","55.00","72.50","115.00","141.00","132.75","7.90","128.50","122.00","122.00","147.00","173.50","139.25","174.00","193.50","2.58","72.50","188.00","3.50","53.00","54.00","107.00"
"Apr-25","55.25","72.00","115.00","139.25","129.50","7.90","123.25","122.00","125.75","140.00","173.00","130.00","172.75","190.75","2.50","72.00","196.50","3.40","52.00","53.00","107.00"
"May-25","55.50","71.00","114.00","138.00","127.50","7.90","118.00","121.00","124.50","130.50","172.00","129.00","171.75","188.00","2.50","71.00","194.50","3.30","52.50","53.00","107.00"
"Q1-25","49.83","70.33","119.33","139.00","134.25","7.13","131.33","124.92","120.50","153.75","173.17","136.67","176.33","196.25","2.62","70.33","190.00","3.52","53.37","55.83","106.52"
"Q2-25","55.50","71.00","113.92","137.92","127.50","7.93","119.75","121.00","123.50","133.33","172.00","129.00","171.67","188.00","2.50","71.00","194.50","3.30","52.50","53.00","107.00"
"Q3-25","52.50","67.00","110.25","134.25","113.25","7.50","117.50","118.50","114.00","129.75","163.00","116.00","171.25","184.00","2.48","67.00","182.00","3.20","56.00","57.00","107.00"
"Cal26","11.55","72.73","10.00","20.75","23.51","28.15","14.20","18.54","27.10","10.00","12.35","25.50","34.75","34.75","2.56","12.35","22.40","3.25","58.00","59.75","108.75"
"Cal27","11.20","71.85","9.80","20.50","23.13","27.04","13.75","18.25","26.80","9.75","12.15","25.30","36.00","34.50","2.48","12.20","22.30","3.10","58.00","59.75","108.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
