"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","61.70","77.50","109.58","146.57","120.56","6460000.00","136.94","171.88","116.43","195.00","225.00","144.06","131.25","176.14","3229167.00","77.50","185.71","4050000.00","47.83","53.75","98.33"
"BITR Change","-8.10","-3.19","-4.69","1.86","-3.88","145000.00","-1.39","-9.68","-1.07","1.94","20.56","-7.19","-15.19","-3.43","25000.00","-3.19","-4.29","-93750.00","-7.67","-0.25","-0.83"
"MTD","58.37","73.87","113.24","134.90","134.14","6808245.06","120.39","142.23","119.55","166.12","160.07","150.76","144.17","167.31","3174463.00","73.87","208.51","3906354.20","58.26","57.09","102.76"
"MTD Change","2.53","1.80","-0.71","2.39","-2.45","0.00","3.79","8.84","-0.39","6.87","10.44","0.62","-0.12","2.84","8814.83","1.80","-4.09","65078.12","-1.02","-0.67","-0.97"
"Jan-25","58.45","75.75","114.00","139.10","126.75","8.10","125.00","151.00","119.50","160.50","168.00","148.00","145.00","170.00","3.04","75.75","200.00","4.00","54.67","56.50","101.58"
"Feb-25","58.75","82.00","117.00","144.00","140.50","8.30","125.00","144.00","116.00","153.75","173.00","130.00","155.00","175.00","2.62","82.00","190.00","4.15","50.00","53.00","100.00"
"Mar-25","60.00","84.00","113.00","137.00","140.50","8.40","126.00","142.00","115.00","147.00","160.00","126.00","160.00","185.00","2.58","84.00","185.00","4.10","52.00","53.00","100.00"
"Apr-25","63.00","84.50","110.00","134.00","140.75","8.60","123.25","138.50","123.00","140.00","170.00","122.00","172.75","185.00","2.50","84.50","185.00","3.75","52.50","53.00","104.00"
"May-25","62.00","83.50","108.00","132.00","139.75","8.50","118.00","135.00","122.50","130.50","165.00","120.00","171.75","183.00","2.50","83.50","184.00","3.65","52.50","53.00","104.00"
"Q1-25","59.07","80.58","114.67","140.03","135.92","8.27","125.33","145.67","116.83","153.75","167.00","134.67","153.33","176.67","2.75","80.58","191.67","4.08","52.22","54.17","100.53"
"Q2-25","62.00","83.00","108.00","132.00","139.75","8.50","119.75","135.00","122.00","133.33","165.00","120.00","171.67","183.00","2.50","83.00","184.00","3.65","52.67","53.00","104.00"
"Q3-25","54.25","73.50","106.00","125.00","117.25","7.60","117.50","113.00","115.00","129.75","157.50","115.00","171.25","175.00","2.48","73.50","181.00","3.50","56.00","57.00","107.00"
"Cal26","12.35","72.14","10.00","20.75","24.67","29.72","14.20","18.34","27.10","10.00","12.55","26.30","34.75","34.75","2.56","12.25","22.68","3.25","58.50","59.75","108.75"
"Cal27","12.00","69.49","9.80","20.50","23.99","28.33","13.75","18.15","26.80","9.75","12.15","26.00","36.00","34.50","2.48","11.80","22.20","3.10","58.50","59.75","108.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
