"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","57.80","103.44","129.17","144.29","220.00","8172500.00","144.22","90.31","184.64","109.44","94.44","146.56","131.88","187.36","3008333.00","103.44","178.58","4221087.00","69.08","66.00","126.83"
"BITR Change","2.15","13.05","75.00","1.43","22.56","337500.00","13.66","2.03","8.93","-2.60","-0.41","-7.50","0.41","0.07","-8334.00","13.05","3.49","-198313.00","3.00","0.75","0.00"
"MTD","55.50","90.30","124.17","142.84","183.22","7923333.33","128.43","88.85","167.74","112.19","94.99","153.85","132.73","186.76","3016666.67","90.30","176.43","4318931.33","63.11","64.08","122.33"
"MTD Change","","","","","","","","","","","","","","","","","","","","",""
"Oct-24","64.00","105.00","135.00","158.50","182.00","8.80","133.00","118.50","160.00","160.00","140.00","150.50","160.00","200.00","2.96","105.00","210.00","4.75","65.00","54.00","113.00"
"Nov-24","72.00","108.50","150.00","169.00","182.00","9.80","140.00","148.00","160.50","167.50","182.00","166.50","180.00","215.00","3.04","108.50","240.00","5.00","68.00","59.00","117.00"
"Dec-24","73.00","116.50","160.00","179.50","189.00","9.90","145.00","159.50","179.00","175.00","240.00","175.00","190.00","230.00","3.12","116.50","247.50","5.25","69.00","64.00","130.00"
"Jan-25","68.77","104.60","144.62","156.77","178.57","9.40","145.66","150.06","155.09","172.29","230.82","162.46","176.83","204.03","2.66","104.60","256.12","5.15","60.00","59.00","110.00"
"Feb-25","66.70","101.69","139.06","153.10","169.05","9.10","140.99","143.76","145.78","164.96","217.36","156.26","174.54","201.31","2.62","101.69","247.68","4.65","60.00","59.00","110.00"
"Q4-24","69.67","110.00","148.33","169.00","184.33","9.50","139.33","142.00","166.50","167.50","187.33","164.00","176.67","215.00","3.04","110.00","232.50","5.00","67.33","59.00","120.00"
"Q1-25","66.70","101.69","139.06","153.10","169.05","9.10","140.99","145.02","147.59","164.96","217.36","157.09","174.54","201.31","2.62","101.69","247.68","4.65","60.00","59.00","110.00"
"Q2-25","60.26","90.03","120.52","143.10","145.95","8.20","126.98","139.97","132.15","142.96","176.31","144.69","169.95","193.14","2.50","90.03","233.33","3.95","59.00","57.00","108.00"
"Cal25","13.70","92.07","10.50","22.20","32.10","31.90","14.35","21.80","29.90","10.50","14.25","35.70","37.75","36.25","2.56","15.80","28.00","4.15","61.50","61.75","113.00"
"Cal26","12.70","87.41","10.10","21.70","30.30","29.63","14.00","20.50","27.70","10.00","13.30","35.00","36.50","36.00","2.56","15.00","27.40","3.85","57.00","60.25","107.50"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
