"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","57.50","108.50","176.07","191.93","187.19","8844444.00","203.17","175.00","176.07","241.11","258.33","361.25","353.50","341.43","5525000.00","108.50","456.43","8656250.00","34.14","44.60","83.43"
"BITR Change","0.71","-1.05","-8.12","0.57","-5.62","-27778.00","-12.22","-29.78","0.00","-34.78","-1.73","-5.63","1.94","9.29","183333.00","-1.05","-7.14","-271875.00","-2.00","-2.80","-3.14"
"MTD","62.87","130.25","181.26","202.53","245.55","9228282.77","189.38","177.40","163.11","689172.00","230.74","257.26","250.38","275.04","4612335.86","130.25","321.64","6010653.45","80.36","179.49","136.42"
"MTD Change","-2.09","-8.52","-0.73","-5.16","-21.63","-129494.96","4.01","28.33","1.76","7267.27","26.72","49.59","38.89","21.87","204187.80","-8.52","47.14","1065653.39","-18.58","-0.99","-21.50"
"Jan-24","62.85","130.30","181.40","202.75","238.20","9.22","190.00","179.00","163.00","226.00","231.00","257.00","250.25","274.00","57.50","130.30","320.00","6.00","80.50","78.00","136.50"
"Feb-24","62.00","110.00","173.00","218.00","190.00","8.30","165.00","195.00","182.50","260.00","244.00","285.00","250.00","250.00","53.00","110.00","360.00","6.20","41.50","55.00","107.50"
"Mar-24","66.00","108.00","159.00","187.00","193.50","8.60","155.00","200.00","180.00","250.00","236.00","245.00","230.00","230.00","47.00","108.00","315.00","5.70","51.00","65.00","119.00"
"Apr-24","63.00","104.50","156.50","175.00","185.75","8.30","145.00","200.50","170.00","220.00","230.00","215.00","220.00","210.75","42.00","104.50","290.00","5.00","56.00","75.00","115.00"
"May-24","62.00","100.50","152.00","161.00","175.50","8.10","140.00","200.00","160.00","200.00","225.00","207.00","210.00","209.50","40.00","100.50","280.00","4.80","57.00","75.00","115.00"
"Q1-24","63.62","116.10","171.13","202.58","207.23","8.71","170.00","191.33","175.17","245.33","237.00","262.33","243.42","251.33","52.50","116.10","331.67","5.97","57.67","66.00","121.00"
"Q2-24","62.00","100.50","152.50","162.00","175.50","8.13","140.92","199.00","160.00","200.00","225.00","207.00","210.00","209.42","40.00","100.50","280.00","4.80","57.00","75.00","115.00"
"Q3-24","57.00","91.50","142.00","147.00","150.00","7.72","131.00","183.00","145.50","160.00","185.00","184.00","177.33","209.50","34.00","91.50","257.50","4.20","59.00","78.00","122.00"
"Cal25","13.40","91.49","10.60","22.50","31.75","31.48","14.50","26.25","27.75","10.50","13.25","38.25","40.00","37.25","32.00","15.70","27.95","4.00","67.50","70.00","118.75"
"Cal26","12.80","86.25","10.10","22.00","31.00","30.00","14.30","24.75","26.80","10.00","12.75","37.25","39.00","37.00","32.00","14.80","27.20","3.70","67.50","70.00","118.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
