"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","54.42","140.91","211.79","186.43","211.88","9477778.00","221.00","151.25","114.29","175.00","192.78","170.63","182.88","215.57","3528333.00","140.91","231.43","4443750.00","125.43","108.40","195.43"
"BITR Change","1.00","5.91","4.07","1.36","11.88","50000.00","2.33","1.75","2.15","0.00","1.95","-0.31","-0.62","-3.00","-42500.00","5.91","-5.71","-31250.00","6.57","2.60","4.86"
"MTD","50.48","100.02","134.66","165.31","166.96","8738919.89","162.19","163.51","118.15","187.92","192.31","165.50","193.01","241.29","3329583.17","100.02","249.68","4159687.50","116.12","112.74","203.29"
"MTD Change","0.23","2.41","4.54","1.24","2.64","43462.24","3.46","-0.72","-0.23","-0.76","0.03","0.30","-0.60","-1.51","11691.17","2.41","-1.07","16709.56","0.55","-0.26","-0.46"
"Oct-23","51.50","106.25","149.00","168.00","175.75","8.88","170.00","163.75","117.47","183.00","195.00","168.50","193.00","243.00","3.32","106.25","247.00","4.18","116.50","111.25","203.00"
"Nov-23","61.00","119.75","190.00","173.00","214.00","9.40","165.00","185.00","142.00","185.00","245.00","170.00","193.00","240.00","2.96","119.75","245.00","4.25","125.00","103.00","193.00"
"Dec-23","64.00","115.00","175.00","178.50","198.00","9.70","170.00","208.00","160.00","195.00","290.00","182.00","200.00","250.00","2.88","115.00","270.00","4.40","126.00","98.00","188.00"
"Jan-24","14.25","96.65","11.50","26.00","38.30","32.96","17.50","32.25","32.85","11.50","20.35","46.70","42.70","40.00","2.64","18.45","32.50","4.30","107.50","94.00","193.00"
"Feb-24","13.85","89.84","11.00","25.00","36.40","32.59","17.00","31.65","32.05","11.00","18.30","45.85","42.70","39.50","2.56","17.15","32.00","4.20","99.00","85.00","171.00"
"Q4-23","58.83","113.67","171.33","173.17","195.92","9.33","168.33","185.58","139.82","187.67","243.33","173.50","195.33","244.33","3.05","113.67","254.00","4.28","122.50","104.08","194.67"
"Q1-24","13.80","89.58","11.05","25.00","36.30","32.53","17.00","31.30","32.00","11.00","18.75","45.90","42.70","39.50","2.56","17.10","32.00","4.20","97.50","86.67","175.00"
"Q2-24","13.05","81.19","10.25","21.50","32.60","30.93","16.00","28.00","29.50","10.00","14.75","41.60","42.30","38.50","2.40","15.50","29.40","3.70","97.50","86.67","138.00"
"Cal24","13.63","83.81","10.10","22.63","33.40","32.30","16.00","27.90","29.60","10.00","15.09","42.50","42.50","39.00","2.40","16.00","30.00","3.77","83.00","72.17","147.00"
"Cal25","13.00","75.96","9.20","21.75","30.70","30.74","15.20","25.30","27.50","9.00","12.45","37.75","42.25","37.25","2.32","14.50","28.25","3.25","69.25","59.00","118.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
