"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","60.54","99.45","136.07","185.71","140.00","8894444.00","121.72","190.00","248.57","225.83","264.72","142.50","164.50","218.93","3550000.00","99.45","235.71","3793750.00","113.00","110.40","201.86"
"BITR Change","-2.38","-1.00","-5.00","0.00","-9.06","-305556.00","-1.45","0.50","-13.57","1.94","1.11","12.50","-0.50","2.86","83333.00","-1.00","-4.29","175000.00","-1.57","0.80","3.57"
"MTD","65.19","100.84","142.01","185.40","162.42","9463888.88","135.87","195.34","261.34","211.50","264.44","127.50","153.59","202.81","3431250.00","100.84","228.46","3034025.00","131.41","114.38","206.54"
"MTD Change","-0.72","-0.11","-1.32","0.10","-5.60","-112037.13","-3.87","-1.16","-1.10","3.11","0.09","2.97","3.79","5.08","17361.17","-0.11","3.73","219908.33","-4.97","-1.46","-2.39"
"Dec-23","61.10","97.92","142.00","182.00","157.50","9.10","135.00","195.67","241.67","215.00","275.00","140.00","164.00","200.00","3.24","97.92","235.00","3.35","121.71","111.60","204.77"
"Jan-24","12.10","86.43","12.40","27.30","39.00","29.07","16.50","36.00","42.50","11.00","20.40","46.25","42.70","40.00","3.00","16.50","34.20","3.85","109.00","107.00","185.00"
"Feb-24","11.95","84.60","11.30","26.05","36.50","28.33","16.00","31.65","35.00","10.50","18.30","45.25","42.50","39.50","2.80","16.15","33.30","3.75","106.00","103.00","175.00"
"Mar-24","11.80","83.55","10.80","25.00","35.50","27.41","15.50","29.40","32.00","10.00","16.50","44.10","42.30","39.00","2.56","15.95","32.70","3.70","93.00","98.00","165.00"
"Apr-24","11.70","80.67","10.65","23.00","33.40","26.85","15.25","29.10","31.90","10.00","15.75","43.50","41.00","38.75","2.44","15.40","30.50","3.50","82.00","95.00","157.00"
"Q1-24","11.95","84.86","11.50","26.12","37.00","28.27","16.00","32.35","36.50","10.50","18.40","45.20","42.50","39.50","2.79","16.20","33.40","3.77","102.67","102.67","175.00"
"Q2-24","11.70","79.62","10.45","22.50","33.00","26.85","15.00","28.40","30.90","10.00","14.75","43.25","41.00","38.50","2.40","15.20","30.30","3.50","81.00","96.00","157.00"
"Q3-24","11.60","72.81","10.15","22.00","29.40","26.85","14.00","23.80","26.00","9.00","12.75","39.55","40.00","38.50","2.24","13.90","29.50","3.25","81.00","96.00","155.00"
"Cal24","12.26","81.52","10.95","23.65","33.23","28.55","15.00","27.74","30.66","9.88","15.05","42.06","41.00","39.00","2.46","15.56","31.00","3.52","85.67","93.67","161.75"
"Cal25","12.50","74.91","10.50","22.50","30.40","29.07","14.50","25.90","28.00","9.00","12.75","36.85","40.50","37.25","2.32","14.30","27.70","3.10","77.00","70.00","130.41"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
