"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","50.38","79.44","116.17","144.43","120.56","7317500.00","112.50","121.85","144.29","159.54","114.85","141.88","131.22","179.14","2853240.00","79.44","195.00","4135413.00","59.25","62.88","112.00"
"BITR Change","0.88","0.00","0.31","-0.07","-3.33","122500.00","11.72","1.41","-3.21","3.89","0.01","1.25","-0.97","0.07","0.00","0.00","0.00","118750.00","0.00","-1.25","-2.00"
"MTD","47.01","80.14","117.42","144.61","126.78","7225000.00","101.64","123.17","148.43","156.09","115.89","139.69","139.15","180.31","2867971.83","80.14","197.14","4012056.33","61.39","64.63","114.89"
"MTD Change","2.36","-1.60","-1.13","-0.21","-5.16","-10000.00","2.75","-3.36","-3.00","1.30","-2.29","1.88","-5.26","-1.65","-22193.67","-1.60","-4.29","46053.33","-2.61","-2.38","-3.95"
"Sep-24","53.08","82.53","121.00","155.00","126.00","7.30","110.00","129.00","150.00","160.00","120.00","143.55","140.00","194.00","2.88","82.53","200.13","4.50","57.54","63.00","112.82"
"Oct-24","60.00","93.00","132.00","165.00","153.50","8.20","120.00","140.00","149.00","160.00","175.00","152.00","190.00","220.00","2.96","93.00","235.00","4.75","60.00","68.00","116.00"
"Nov-24","65.50","105.25","145.00","170.00","172.00","9.10","125.00","158.00","158.00","167.50","217.00","161.00","200.00","230.00","3.04","105.25","251.00","5.00","68.50","69.00","121.00"
"Dec-24","68.00","110.75","158.00","180.00","186.00","9.50","130.00","173.00","176.00","175.00","268.00","178.00","210.00","240.00","3.12","110.75","262.00","5.25","71.00","70.00","126.00"
"Jan-25","63.25","99.07","144.62","156.77","176.19","8.96","145.66","155.42","143.96","172.29","226.11","161.22","189.22","209.47","2.66","99.07","258.23","5.15","60.00","63.00","110.00"
"Q4-24","64.50","103.00","145.00","171.67","170.50","8.93","125.00","157.00","161.00","167.50","220.00","163.67","200.00","230.00","3.04","103.00","249.33","5.00","66.50","69.00","121.00"
"Q1-25","61.18","96.15","139.06","153.10","166.67","8.65","140.99","150.38","136.47","164.96","212.65","157.09","186.93","206.75","2.62","96.15","249.79","4.65","60.00","63.00","110.00"
"Q2-25","57.50","86.25","120.52","143.10","145.24","8.00","126.98","138.40","125.57","142.96","179.00","144.69","180.05","198.59","2.50","86.25","235.44","3.95","59.00","64.00","109.00"
"Cal25","13.05","88.29","10.50","22.20","31.77","30.88","14.35","22.40","29.00","10.50","14.30","35.50","40.00","37.25","2.56","15.15","28.25","4.15","63.25","66.00","112.25"
"Cal26","12.55","85.96","10.10","21.70","30.90","29.81","14.00","22.15","29.00","10.00","13.95","36.00","39.00","37.00","2.56","14.75","27.45","3.85","60.00","64.00","110.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
