"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","36.95","70.00","102.50","102.14","0.00","7337500.00","100.00","211.25","0.00","191.94","222.22","145.00","194.06","222.14","2937500.00","70.00","294.29","3800000.00","133.57","203.29"
"BITR Change","-1.19","-0.32","0.00","-1.43","0.00","-84722.00","-2.56","-8.75","0.00","-0.28","-36.11","-1.07","22.50","22.14","16667.00","-0.32","5.72","-85714.00","13.14","7.57"
"MTD","37.55","70.16","103.39","102.14","114.06","7379861.00","101.28","215.63","145.00","192.08","240.28","145.53","194.06","222.14","2929166.50","70.16","291.43","3842857.00","127.00","199.50"
"MTD Change","-0.59","-0.16","-0.90","","0.00","-42361.00","-1.28","-4.38","0.00","-0.14","-18.05","-0.54","","","8333.50","-0.16","2.86","-42857.00","6.57","3.79"
"Sep-23","42.70","76.00","112.00","112.00","125.00","7.40","115.00","197.00","140.00","170.00","215.00","157.50","175.00","215.00","2.56","76.00","260.00","3.85","134.50","192.00"
"Oct-23","52.50","85.00","127.00","132.50","143.00","8.70","130.00","185.00","146.00","140.00","230.00","161.00","185.00","225.00","2.40","85.00","242.00","3.85","132.00","185.00"
"Nov-23","58.25","96.00","137.50","144.00","156.00","9.40","145.00","199.00","149.00","150.00","268.50","167.00","192.50","235.00","2.48","96.00","255.00","3.90","129.00","185.00"
"Dec-23","62.50","101.00","149.50","151.00","164.50","9.90","160.00","204.00","155.00","160.00","289.00","173.00","200.00","245.00","2.56","101.00","262.00","3.95","127.00","185.00"
"Jan-24","59.40","97.70","141.24","143.11","158.82","9.30","147.70","177.91","128.26","115.27","249.35","164.58","174.71","196.08","2.42","97.70","231.06","3.95","110.00","161.00"
"Q4-23","57.75","94.00","138.00","142.50","154.50","9.33","145.00","196.00","150.00","150.00","262.50","167.00","192.50","235.00","2.48","94.00","253.00","3.90","129.33","185.00"
"Q1-24","55.51","89.84","138.71","137.15","154.49","8.70","143.35","169.19","124.12","115.27","245.48","159.07","174.71","193.63","2.42","89.84","227.27","3.85","103.00","151.00"
"Q2-24","12.35","14.15","10.30","21.00","30.30","28.70","15.50","25.90","28.00","7.00","14.00","40.25","42.30","38.50","29.80","14.15","27.75","40.00","76.25","131.00"
"Cal24","13.05","15.35","10.57","21.75","31.95","30.37","15.50","26.00","28.25","7.31","14.80","41.25","42.50","39.00","30.00","15.35","28.25","40.00","82.00","136.00"
"Cal25","12.40","14.25","10.25","21.50","30.65","28.89","14.80","25.00","27.40","7.00","12.50","37.00","42.25","37.25","29.00","14.25","27.35","34.44","67.50","106.00"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
