"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","59.40","88.61","107.92","143.36","128.61","8347500.00","153.06","125.63","94.29","172.22","166.39","129.69","135.00","175.29","2987500.00","88.61","190.71","3631250.00","45.06","47.25","90.75"
"BITR Change","2.15","-1.95","0.32","0.00","0.83","32500.00","-3.16","8.75","-1.07","-4.17","0.28","1.56","0.87","0.50","-12500.00","-1.95","-2.15","112500.00","-0.67","0.00","-0.58"
"MTD","64.02","91.55","108.15","143.39","130.09","8839722.22","136.28","158.82","106.67","194.23","185.47","122.68","128.48","172.10","3106944.33","91.55","189.29","3372222.22","47.33","48.15","91.95"
"MTD Change","-0.58","-0.37","-0.03","-0.00","-0.19","-61527.78","2.10","-4.15","-1.55","-2.75","-2.38","0.88","0.82","0.40","-14930.54","-0.37","0.18","32378.47","-0.28","-0.11","-0.15"
"Feb-25","63.75","92.57","110.00","144.00","135.80","8.80","140.00","149.18","109.00","170.00","180.00","129.45","135.00","175.00","2.92","92.57","187.00","3.50","46.84","47.65","91.43"
"Mar-25","67.00","96.00","111.00","137.00","147.41","9.15","137.00","150.00","125.00","147.00","165.00","141.00","140.00","185.00","2.58","96.00","189.00","3.75","49.50","51.00","96.00"
"Apr-25","65.00","92.50","110.00","134.00","138.75","9.00","123.25","145.00","130.00","140.00","173.00","137.00","150.00","185.00","2.50","92.50","189.00","3.30","50.00","51.00","100.00"
"May-25","63.00","90.50","107.25","132.00","135.25","8.70","118.00","142.00","130.00","130.50","170.00","133.00","160.00","183.00","2.50","90.50","187.00","3.20","51.75","51.00","100.50"
"Jun-25","62.00","87.75","106.00","130.00","131.75","8.55","118.00","139.00","130.00","129.50","167.00","129.00","170.50","181.00","2.50","87.75","185.00","3.10","51.75","51.00","101.00"
"Q2-25","63.33","90.25","107.75","132.00","135.25","8.75","119.75","142.00","130.00","133.33","170.00","133.00","160.17","183.00","2.50","90.25","187.00","3.20","51.17","51.00","100.50"
"Q3-25","53.25","72.00","106.00","125.00","117.25","7.30","117.50","123.00","118.00","129.75","153.00","123.50","171.25","175.00","2.48","72.00","180.00","3.00","56.00","55.00","105.00"
"Q4-25","63.00","81.00","126.00","144.00","127.50","8.70","135.25","129.00","124.00","157.00","179.00","116.50","180.50","190.00","2.64","81.00","184.00","3.20","59.00","59.00","109.00"
"Cal26","12.00","72.14","10.00","20.75","24.31","28.70","14.20","18.34","27.10","10.00","12.47","25.50","34.75","34.75","2.56","12.25","22.68","3.25","55.00","55.00","107.75"
"Cal27","11.70","70.38","9.80","20.50","23.42","27.78","13.75","18.15","26.80","9.75","12.15","24.75","36.00","34.50","2.48","11.95","22.20","3.10","55.00","55.00","107.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
