"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","84.28","126.39","150.42","178.50","191.11","11915000.00","203.83","102.81","201.43","165.00","215.00","129.06","146.19","181.93","3183760.00","126.39","204.29","3537500.00","57.75","60.75","113.50"
"BITR Change","-9.05","-4.17","1.25","11.36","0.83","-518333.00","4.94","-4.38","20.00","2.78","75.28","8.12","1.78","-1.93","84760.00","-4.17","-0.71","287500.00","-1.58","-0.50","-0.92"
"MTD","85.96","116.81","142.51","159.84","165.36","10999385.41","168.87","110.53","206.58","156.88","143.08","117.44","134.97","186.46","3081550.59","116.81","199.08","3138382.35","63.25","67.65","124.20"
"MTD Change","-0.28","1.31","1.05","2.24","3.32","132007.88","4.48","-0.82","-1.21","0.93","5.70","1.03","1.60","-0.58","8697.25","1.31","0.79","44049.02","-0.69","-0.92","-1.44"
"Oct-25","86.45","120.25","144.50","165.00","170.97","11.25","175.00","113.00","203.00","157.00","146.00","121.67","138.00","185.00","3.08","120.25","203.00","3.15","61.88","65.75","121.28"
"Nov-25","91.00","127.75","143.50","170.00","190.87","11.25","170.00","132.50","205.00","160.00","180.00","153.00","155.00","192.50","2.80","127.75","223.00","3.50","62.00","62.00","116.00"
"Dec-25","87.00","124.00","141.50","165.00","182.87","10.70","160.00","143.00","209.00","175.00","206.00","164.00","165.00","200.00","2.92","124.00","230.00","3.80","64.50","64.00","121.00"
"Jan-26","79.12","105.83","129.94","145.20","158.07","9.50","135.31","133.22","149.33","150.96","187.01","146.35","165.89","195.20","2.64","105.83","206.28","3.80","61.00","62.00","120.50"
"Feb-26","69.92","99.35","126.82","143.19","156.61","8.80","132.65","131.27","147.02","146.86","183.00","144.28","164.50","193.57","2.62","99.35","203.74","3.50","61.00","62.00","119.00"
"Q4-25","88.15","124.00","143.17","166.67","181.57","11.07","168.33","129.50","205.67","160.00","177.33","146.22","152.67","192.50","2.93","124.00","218.67","3.48","62.79","63.92","119.43"
"Q1-26","71.76","99.35","126.82","143.19","156.61","9.00","132.65","131.27","147.02","146.86","183.00","144.28","164.50","193.57","2.62","99.35","203.74","3.50","61.00","62.00","119.50"
"Q2-26","13.50","86.98","11.00","20.50","28.62","29.44","13.45","18.95","28.90","9.25","11.95","31.30","34.00","34.00","2.50","14.77","22.80","3.30","59.00","60.00","119.50"
"Cal26","13.68","87.53","11.20","20.84","28.67","29.54","14.20","18.55","29.00","10.00","12.30","31.75","34.75","34.75","2.56","14.86","22.80","3.30","60.00","60.75","119.50"
"Cal27","11.85","74.09","10.45","20.50","25.00","27.41","13.75","16.60","20.50","9.75","11.10","27.00","34.50","34.50","2.48","12.58","19.85","3.15","53.00","53.00","109.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
