"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","48.48","67.41","97.50","148.97","119.06","8277778.00","88.50","160.25","135.00","178.33","144.72","172.81","161.56","210.43","3100000.00","67.41","242.86","3968750.00","103.21","165.43"
"BITR Change","-0.02","1.50","-3.44","-1.82","-1.88","72222.00","0.56","-1.75","-8.33","-1.39","-0.28","-4.07","-3.00","-0.28","183333.00","1.50","-2.14","-12500.00","-0.50","-0.43"
"MTD","48.77","66.74","104.56","151.28","121.41","8188889.00","90.98","161.38","143.85","180.69","147.43","174.92","163.99","212.13","2926041.75","66.74","246.52","3957812.50","102.66","165.54"
"MTD Change","-0.10","0.22","-2.83","-0.77","-0.78","29629.67","-0.83","-0.38","-2.95","-0.79","-0.90","-0.70","-0.81","-0.56","57986.08","0.22","-1.22","3645.83","0.18","-0.04"
"Aug-23","52.25","72.50","112.50","156.00","132.39","8.20","95.00","169.00","142.00","165.00","158.00","162.71","177.00","197.00","2.24","72.50","240.00","3.80","103.50","169.00"
"Sep-23","57.25","90.00","120.00","154.00","147.00","8.80","100.00","163.00","134.00","140.00","173.00","156.00","181.00","190.00","2.16","90.00","240.00","3.70","107.50","167.00"
"Oct-23","62.25","96.50","130.00","152.00","160.00","9.50","120.00","168.00","135.00","135.00","195.00","152.50","185.00","190.00","2.24","96.50","232.00","3.65","96.00","158.00"
"Nov-23","64.25","100.50","142.50","160.00","163.50","9.60","140.00","171.00","140.00","145.00","232.50","163.50","192.50","195.00","2.32","100.50","235.00","3.70","96.00","158.00"
"Dec-23","67.00","104.50","155.00","165.00","170.00","10.00","160.00","176.00","143.50","155.00","262.50","173.00","200.00","200.00","2.40","104.50","237.00","3.75","96.00","158.00"
"Q4-23","64.50","100.50","142.50","159.00","164.50","9.70","140.00","171.67","139.50","145.00","230.00","163.00","192.50","195.00","2.32","100.50","234.67","3.70","96.00","158.00"
"Q1-24","59.81","91.15","134.93","137.15","157.74","8.75","143.35","151.74","122.47","115.27","169.25","143.44","174.71","193.63","2.26","91.15","217.80","3.60","83.50","130.00"
"Q2-24","12.40","14.30","10.30","21.50","30.30","28.52","15.50","24.45","28.60","7.00","12.75","36.55","42.30","38.50","27.80","14.30","27.75","37.22","66.00","117.50"
"Cal24","13.45","15.50","10.50","22.00","32.15","30.65","15.50","24.85","28.85","7.31","12.84","37.65","42.50","39.00","28.00","15.50","28.05","37.22","71.00","116.88"
"Cal25","12.50","14.45","10.25","21.50","30.85","28.70","14.80","23.40","27.25","7.00","12.50","36.00","42.25","37.25","27.00","14.45","27.35","33.89","62.25","103.75"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
