"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","51.45","115.39","174.58","204.43","223.89","8310000.00","170.56","155.94","150.71","169.72","187.78","226.88","262.81","321.43","3954167.00","115.39","347.14","5743750.00","73.86","73.20","130.14"
"BITR Change","-1.15","2.50","1.57","-2.28","2.50","-75000.00","-0.61","6.88","-16.43","-0.84","-18.89","-1.87","-2.82","-3.21","-20833.00","2.50","-10.00","0.00","-8.14","-3.60","-6.43"
"MTD","54.14","112.27","168.18","208.46","207.78","8554437.50","188.05","159.30","214.28","194.90","215.49","240.51","268.34","323.42","4023437.50","112.27","360.27","6120312.50","82.20","78.58","140.59"
"MTD Change","-1.60","-0.63","3.80","-1.54","10.63","-144312.50","-12.89","-12.19","-32.41","-20.87","-10.90","-7.30","-2.67","0.78","-32812.50","-0.63","-2.23","-253125.00","-2.48","-1.98","-4.23"
"Jun-24","53.23","110.90","164.10","202.00","205.33","8.25","179.00","165.00","187.00","180.00","213.30","229.50","250.00","310.00","3.76","110.90","340.00","6.00","75.48","74.63","131.84"
"Jul-24","55.00","102.50","141.00","185.00","180.00","7.65","165.00","185.00","167.00","170.00","222.50","201.00","225.00","265.00","2.88","102.50","305.00","5.60","70.00","70.00","125.00"
"Aug-24","54.75","90.25","134.00","165.00","162.00","7.60","145.00","180.00","150.00","160.00","190.00","198.00","205.00","240.00","2.76","90.25","279.00","5.30","70.00","70.00","125.00"
"Sep-24","56.00","92.25","134.00","167.50","162.00","7.90","138.00","181.00","154.00","150.00","202.00","195.00","195.00","245.00","2.68","92.25","267.00","5.00","70.00","70.00","125.00"
"Oct-24","65.00","103.50","150.00","180.00","175.00","9.10","142.00","176.00","156.00","160.00","223.00","190.00","200.00","245.00","2.68","103.50","273.00","5.20","71.00","72.00","127.00"
"Q3-24","55.25","95.00","136.33","172.50","168.00","7.72","149.33","182.00","157.00","160.00","204.83","198.00","208.33","250.00","2.77","95.00","283.67","5.30","70.00","70.00","125.00"
"Q4-24","69.75","110.50","155.67","185.00","185.00","9.69","145.00","180.00","164.00","167.50","253.00","186.00","210.00","240.00","2.76","110.50","278.00","5.40","72.00","72.00","125.00"
"Q1-25","67.39","103.44","148.46","156.44","172.38","9.25","144.72","192.31","146.23","164.96","214.00","177.14","186.93","206.75","2.62","103.44","255.27","5.00","64.00","67.00","119.00"
"Cal25","13.85","95.28","10.80","22.70","33.65","32.59","14.75","27.95","31.00","10.50","15.15","39.80","40.00","37.25","2.56","16.35","28.75","4.50","65.50","68.25","123.25"
"Cal26","13.15","89.16","10.30","22.20","32.25","30.93","14.35","25.95","28.50","10.00","13.80","37.70","39.00","37.00","2.56","15.30","27.45","3.90","65.50","68.25","123.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
