"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","65.36","102.95","124.29","197.50","189.69","9038889.00","110.28","214.17","161.07","253.33","320.56","167.81","236.25","328.21","4650000.00","102.95","317.14","4375000.00","56.14","60.00","107.86"
"BITR Change","5.04","-0.46","-4.68","0.00","-1.56","127778.00","2.78","-17.15","5.36","-6.11","2.23","-4.07","-3.13","-5.72","-158333.00","-0.46","-6.43","-12500.00","-0.71","0.60","1.71"
"MTD","69.86","107.74","157.16","194.34","198.08","9248015.86","167.05","220.80","170.15","762959.24","280.36","255.21","271.13","341.82","5755237.95","107.74","341.28","6212797.62","56.41","155.60","97.41"
"MTD Change","-0.50","-0.19","-1.39","0.17","-0.26","-19067.44","-3.12","1.39","-0.97","-2862.26","2.07","-4.04","-1.64","-0.00","-42761.90","-0.19","-0.92","-87202.38","0.07","-1.15","0.64"
"Mar-24","72.50","109.00","140.00","190.00","180.00","9.30","135.00","215.00","185.00","250.00","256.00","194.00","245.00","280.00","54.50","109.00","295.00","5.00","57.50","65.00","113.00"
"Apr-24","69.75","107.00","150.00","185.00","177.00","9.10","145.00","222.00","185.00","230.00","247.50","217.75","230.00","250.00","46.50","107.00","292.50","4.80","59.00","65.00","116.00"
"May-24","64.75","102.25","144.00","175.00","166.00","8.70","140.00","193.00","177.00","215.00","226.00","213.00","225.00","240.00","41.50","102.25","284.50","4.60","59.00","65.00","115.00"
"Jun-24","63.50","99.00","141.00","157.50","160.00","8.45","135.00","188.00","174.00","200.00","220.00","209.00","220.00","232.50","38.00","99.00","275.00","4.40","59.00","65.00","113.00"
"Jul-24","60.50","93.50","138.50","147.00","158.00","8.00","132.00","185.00","150.00","170.00","180.00","195.00","210.00","225.00","35.00","93.50","260.00","4.25","61.00","69.00","113.00"
"Q2-24","66.00","102.75","145.00","172.50","167.67","8.75","140.00","201.00","178.67","215.00","231.17","213.25","225.00","240.83","42.00","102.75","284.00","4.60","59.00","65.00","114.67"
"Q3-24","59.50","90.25","138.00","147.00","156.00","7.88","131.00","186.00","146.00","160.00","175.00","189.00","200.00","215.83","34.00","90.25","255.00","4.15","61.00","69.00","114.00"
"Q4-24","70.00","105.00","147.00","160.00","177.00","9.58","141.00","195.00","158.00","170.00","220.00","192.00","200.00","230.00","34.50","105.00","265.00","4.55","65.50","75.50","124.00"
"Cal25","13.95","90.91","10.60","22.50","32.20","32.41","14.50","26.75","28.25","10.50","13.25","38.80","40.00","37.25","32.00","15.60","27.95","4.00","61.00","67.00","116.25"
"Cal26","13.05","88.00","10.10","22.00","31.10","30.37","14.30","25.00","27.25","10.00","12.75","37.35","39.00","37.00","32.00","15.10","27.20","3.70","61.00","67.00","116.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
