"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","72.45","110.00","143.57","181.07","180.56","9340000.00","170.39","198.06","172.86","245.00","251.67","233.44","275.94","313.21","3266667.00","110.00","380.00","6556250.00","78.14","77.40","139.00"
"BITR Change","0.45","-0.94","-0.94","0.71","-2.50","65000.00","5.22","-1.38","2.50","0.00","-13.33","2.81","-0.31","5.35","66667.00","-0.94","-6.43","43750.00","-1.57","-0.40","-1.29"
"MTD","68.38","105.31","143.96","180.10","186.83","9147857.14","167.48","183.41","156.94","227.34","255.57","225.85","268.62","302.91","3292261.86","105.31","374.18","6300000.00","74.39","74.51","136.72"
"MTD Change","6.30","-5.64","4.50","5.04","-2.53","593751.88","-16.73","0.20","-18.80","-1.68","8.40","2.79","35.88","16.79","-491290.72","-5.64","57.55","484868.42","10.34","6.53","11.89"
"May-24","70.79","108.08","148.50","180.00","187.20","9.40","165.19","197.14","166.00","205.00","261.85","235.30","255.00","285.00","40.00","108.08","361.00","5.90","80.00","74.50","138.24"
"Jun-24","67.00","106.00","140.00","171.00","189.00","9.20","145.00","196.00","175.00","185.00","235.00","226.00","230.00","265.00","37.00","106.00","304.00","5.40","80.00","71.50","134.00"
"Jul-24","61.00","101.00","139.00","151.00","174.00","8.40","136.00","189.50","165.00","170.00","227.00","210.50","215.00","235.00","35.00","101.00","300.00","5.00","80.00","69.50","132.00"
"Aug-24","58.25","91.25","137.00","145.00","170.00","8.05","131.00","183.50","161.00","150.00","190.00","206.00","205.00","201.00","34.00","91.25","295.00","4.80","80.00","70.00","132.00"
"Sep-24","60.75","95.75","144.00","151.00","173.50","8.40","138.00","185.00","163.00","160.00","198.00","204.50","195.00","222.50","33.00","95.75","290.00","5.10","80.00","70.50","132.00"
"Q3-24","60.00","96.00","140.00","149.00","172.50","8.28","135.00","186.00","163.00","160.00","205.00","207.00","205.00","219.50","34.00","96.00","295.00","4.97","80.00","70.00","132.00"
"Q4-24","72.50","112.00","152.67","160.00","188.00","9.88","145.00","194.00","170.00","170.00","263.00","194.00","210.00","230.00","34.50","112.00","285.00","5.40","79.00","77.50","137.33"
"Q1-25","68.31","103.44","148.46","156.44","176.90","9.35","144.72","190.10","142.82","164.96","204.58","182.31","186.93","206.75","32.75","103.44","255.27","5.00","66.00","71.50","126.50"
"Cal25","14.10","95.57","10.80","22.70","34.20","32.78","14.75","27.50","30.25","10.50","14.45","40.10","40.00","37.25","32.00","16.40","28.75","4.50","65.75","71.75","125.25"
"Cal26","13.20","89.74","10.30","22.20","32.10","30.74","14.35","25.95","28.00","10.00","13.60","37.75","39.00","37.00","32.00","15.40","27.45","3.90","65.75","71.75","125.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
